,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
0,2021-05-14 14:59:09+00:00,1393219335804440581,"Electrical grid debalcle in Texas, Continental pipeline hack, Jackson, MS water problem &amp; a host issues inform me ""infrastructure"" isn't limited to traditional definition. It's not the 60's anymore. Roads, bridges, electrical grid/gas distribution, water/wastewater treatment..",NPlavets,,1,0,0,0
1,2021-05-11 22:39:50+00:00,1392248107786653700,"@JenNJuiceChunk2 @ap_emd @POTUS No one? Cities all over America are experiencing drinking water problems. Most recent that comes to mind is Jackson, MS. I'm going to assume American citizens live in Jackson, MS right?
https://t.co/xNvrjBf5BT",R0zzyB0wden,Hollywood,0,0,0,0
2,2021-05-10 03:37:55+00:00,1391598349883674625,"Another day, another instance of severe storms rolling through the Jackson, MS area with a water tower blocking part of the KDGX radar data. How many times will this have to happen before this problem is fixed? https://t.co/Y0390cV8C5",rzweather,Alabama,0,2,6,0
3,2021-05-03 01:40:51+00:00,1389032173748072451,"I experiencing the same water problems in my home  that you are in Jackson , Ms. The water here smells of lead and sewage. I have gone to the mayor on numerous occasions and also to an attorney. What else can I do ?
@ChokweALumumba",DarleanSutton,,0,0,0,0
4,2021-04-30 12:12:36+00:00,1388103992941678594,"Help us help the people in Jackson, MS, suffering from the side effects of a broken water infrastructure system. Water is still being cut off because of problems caused by the system. Visit https://t.co/3U71nhLKpB or look for the SDPC on @Givelify.",proctorconf,"Chicago, IL",1,0,1,0
5,2021-04-23 17:58:44+00:00,1385654385385086978,"WATCH: The latest episode of Meet the Press Reports takes a deep dive look at aging water infrastructure across the country, including in Jackson, MS. #MTPDaily 

@deepashivaram: “If you keep putting band-aids on a very large problem, it's only going to get worse over time.” https://t.co/xcTzi72naT",MeetThePress,"Washington, D.C.",7,24,58,6
6,2021-04-21 22:11:48+00:00,1384993296066310145,"Good to see the Jackson, MS water crisis getting some national media coverage, but the United States is in the middle of a national water crisis: climate induced drought, pollution, crumbling infrastructure, and environmental racism are major problems. 

https://t.co/uULKhdmkzn",ecothought,Akimel O’odham & Pee Posh land,1,1,7,0
7,2021-04-20 18:21:13+00:00,1384572879883411459,"I am working on a temporary solution for water problems across the country such as putting water filters in Flint Mi, Newark NJ, Jackson MS, and Watts CA https://t.co/BbyOtzKhUe",PooSharky,,0,0,0,0
8,2021-04-06 00:44:59+00:00,1379233639486136320,"Seems like a no brainer doesn’t it? And yet @LeaderMcConnell has a problem with American’s having a basic quality of life. Rich people gets it and everyone else! Well, tough luck, you’re on your own. Perfect examples, Flint,MI &amp; Jackson,MS NEITHER have good water! https://t.co/scNmlGoEBn",bmartin7781,"North Carolina, USA",0,1,0,0
9,2021-04-01 04:04:31+00:00,1377471913577091078,"@SecretaryPete I read one provision was to replace every lead water pipe in USA? If so, this sounded equivalent to me to Keystone XL jobs but larger &amp; longer in scope + solves lingering city water problems like Flynt MI &amp; Jackson MS + BIG bonus for children's health. Is this not correct?",gibu02,,0,3,5,0
