,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
0,2021-05-22 20:16:57+00:00,1396198419023110144,".@IDF targeted two water pipelines in their bombing campaign in Gaza, cutting off 20% of the residents of Gaza City from potable water.

One of the pipelines served more than 200,000 citizens, leaving them with no water supply &amp; aggravating the water crisis that the city suffers.",jacksonhinklle,Acjachemen Nation,1,37,62,2
1,2021-05-21 12:59:20+00:00,1395725901351071747,"You're holding up the Special Session.  No less than representatives have stated that you're deliberately holding up the process!  You don't care about sanctity of life, as evidenced by the Jackson water crisis, Medicaid expansion and resources for citizens in the state. https://t.co/wJQJEFeyyH",brown60076,Hell,0,0,0,0
2,2021-05-18 04:27:03+00:00,1394509814001246217,"I'm reposting this podcast that gives more context about #Jackson and our water issues #Mississippi
#WaterCrisis
""VisuNews Podcast: Jackson's Water Crisis with Laurie Bertram Roberts |"" https://t.co/WMiuZtEEgv",smartstatistic,"Jackson, MS",0,1,6,0
3,2021-05-16 23:36:23+00:00,1394074280187547648,"@SenatorWicker Search for ...
""Mississippi River traffic resumes under damaged bridge"" 
OR 
""Jackson wanted $47 million for water crisis. Lawmakers are providing $3 million.""
#AmericanJobsPlan",gibu02,,0,0,0,0
4,2021-05-16 23:34:11+00:00,1394073725633548301,"@bardaffy160 @SenatorWicker @All100Senators Look up ...
""Mississippi River traffic resumes under damaged bridge"" 
OR 
""Jackson wanted $47 million for water crisis. Lawmakers are providing $3 million.""
#AmericanJobsPlan",gibu02,,0,0,0,0
5,2021-05-16 06:03:33+00:00,1393809324871360513,"@SallieAnn9 @ashtonpittman @SenatorWicker @cindyhydesmith Jackson is a mostly Black city, which is why they don’t care. Not @SenatorWicker, not @cindyhydesmith and certainly not their Confederate supporting Klansman governor @tatereeves who has made virtually no effort to solve the water crisis there.",4SeasonsTL,The Right Side of History,1,2,4,0
6,2021-05-16 05:47:24+00:00,1393805262645972998,"@petersergienko @ashtonpittman @chrislhayes Mississippi Republicans barely lifted a finger to help Jackson with their water crisis and that was after a month of criticism. Hell yeah, they would.",chloe_edmund,Colorado,0,1,2,0
7,2021-05-16 05:22:42+00:00,1393799046402293761,"For an in-depth read on how a history of racial segregation, white flight and political negligence led to the Jackson water crisis, read @NickJudin's three-part series:

Under The Surface, Part 1: Jackson Residents Struggle From Neglected Water System
https://t.co/Ztvawu2NVW",ashtonpittman,"Hattiesburg, MS",1,29,50,0
8,2021-05-15 16:47:17+00:00,1393608937002385408,Some of the neighborhoods hit hardest by Jackson's February water crisis are again experiencing low water pressure. https://t.co/pWQVIdLmFb,WLBT,"Jackson, MS",1,0,1,0
9,2021-05-15 01:35:20+00:00,1393379439136940032,I wonder will the new season of #BelleCollective cover the water crisis in Jackson,alleybenz,PCOLA In Da House,0,0,1,0
