,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
0,2021-06-02 23:18:43+00:00,1400230426178994176,"@dtailed_tobby see i’ve heard that before and have wondered how vegan body builders even function i’ve also heard counters to the same statements, so my best bet is that some people bodies work differently then others, cause cutting out meat(red) and drinking more water was causing me problems",theosmoov,VVSWORLD💎🌍,1,0,1,0
1,2021-06-02 05:40:25+00:00,1399964097588994049,Residents on week three of Jackson well water problems https://t.co/7AeJWCoAPG,16WAPTNews,"Jackson, MS",0,2,0,1
2,2021-06-01 20:37:38+00:00,1399827499257839624,"@SInow This is, and has always been, a solution in search of a problem. MS for example, passed their bill despite lawmakers not being able to name a single instance in their state. They did it while Jackson was still without power and 40K residents were on a boil water advisory.",Stew_Pac13,,0,0,0,0
3,2021-06-01 17:23:30+00:00,1399778646731145219,@RadioFreeTom I wasn't aware of your water heating problem. Have you considered geothermal?,Mark_N_Jackson,"North Carolina, USA",0,0,0,0
4,2021-06-01 00:22:12+00:00,1399521627646345221,"Public Works Deputy Director Carla Dazet says that 8,000 Jackson water bills are currently “stranded,” not going out to the recipients because of the billing-system problem in the city. But that will change soon, she promised. #JXN #JXNwater https://t.co/VvZYdWjW7S https://t.co/YMueXULHZa",JxnFreePress,"Jackson, Mississippi",1,0,0,0
5,2021-05-31 18:02:06+00:00,1399425972563333123,@ViwePotelwa @solomon_kint Knowing the amount of attention on the fan behavior issue right now and still threw water on him is fan entitlement and I Don’t give an F mentality. Funny how the Stephen Jackson’s were banned for like half a season for this and now we see that there is a problem with fans,ZunguMthoko,,0,1,0,0
6,2021-05-31 03:49:30+00:00,1399211410391855105,"There is a lot of wrong in this situation and Kyrie is equally part of the problem. 

Correct the fan should never have thrown a water bottle at him. Kyrie was also purposely instigating emotional people and then acts shocked and calls for racism? Just a bad look for everyone https://t.co/j9t2rav9Ag",WeLoveJackso,"Morton, IL",0,0,2,0
7,2021-05-29 13:38:23+00:00,1398634828384378880,@westpalmbch So the entire water supply for the City of West Palm Beach is contaminated with Blue Green Algae?  With a city this size and all the advances in maintaining water.... How does this happen? Hurricane season starts Tuesday and we have this problem! #TotallyUnAcceptable,MRMJAYE2U,"WEST PALM BEACH,FLA.",0,0,0,0
8,2021-05-28 17:44:48+00:00,1398334453743767555,"Public Works Deputy Director Carla Dazet says that 8,000 Jackson water bills are currently “stranded,” not going out to the recipients because of the billing-system problem in the city. But that will change soon, she promised. #JXN #JXNwater https://t.co/VvZYdWjW7S https://t.co/mBKZDNPSZ6",JxnFreePress,"Jackson, Mississippi",0,0,1,0
9,2021-05-28 13:14:42+00:00,1398266482228875266,"@ClamDigger1414 I’ve worked on some deluge systems before. The amount of water they can put on the stands is mind boggling, but if there’s a problem that requires them, everyone within 10 miles is gonna be glad they worked. Lol",John1and1,"Oklahoma, USA",1,0,3,0
