,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
0,2021-05-25 20:00:05+00:00,1397281336528973824,Jackson is still sorting out its water billing problems. https://t.co/pZsgsHLVAD,WLBT,"Jackson, MS",1,0,0,0
1,2021-05-22 02:46:41+00:00,1395934111278194688,A local crime spree and ongoing water problems in the Capitol City are what we're covering tonight at 10 p.m. https://t.co/P2iwE22jLu,WLBT,"Jackson, MS",1,0,1,0
2,2021-04-03 17:30:48+00:00,1378399598327238659,"Mississippi's water crisis one of 7 most urgent national infrastructure problems according to @nytimes 

https://t.co/ToMfzzIOZ1",rorydoylephoto,"Mississippi, Mexico",0,3,7,0
3,2021-03-25 13:10:23+00:00,1375072573294264320,Of course they did. “The problem in Jackson is more about Legislative leaders kill key proposal to address Jackson water crisis” https://t.co/QO7xem4wOW,robbyjsu,Jackson,0,0,0,0
4,2021-03-23 23:22:22+00:00,1374501805674033152,"@tarasynora2 I dont do much to dump anything that holds water. One reason is for the wildlife,  the other reason is the tadpoles. I have never in my life seen this many frogs in one area, and I lived in a pine bog. Because of the tadpoles  I don't I dont have a horrible mosquito problem.",Paganveteran,south Mississippi,1,0,1,0
5,2021-03-21 01:53:02+00:00,1373452560628072451,water = city of jackson problem. if y’all gone talk atleast talk about something that has something to do with jackson stare specifically.,jamareous_t,M$ | AllBlackLivesMatter🏳️‍🌈,0,6,18,2
6,2021-03-19 11:41:56+00:00,1372875985528426506,"Jackson’s water problems are far from over. The boil water notice was lifted Wednesday, but Mayor Chokwe A. Lumumba says without adequate funding, it’s only a matter of time before the aging system fails again.
https://t.co/hqsWU73POi #watercrisis #JacksonMS",annaonair12,"Ridgeland, MS",0,2,2,0
7,2021-03-07 15:14:35+00:00,1368580848287707136,"@annehall11 Instead of trash talking, why don’t you try &amp; get the Bidden Administration to help Mississippi out with our water problem in Jackson?
#MSPol https://t.co/oYe9Yfbc1y",WillBenton1,"Ore’Yonder, USA",1,1,3,0
8,2021-03-05 02:38:58+00:00,1367665912581591042,@MACarte47856342 @WLBT The state of Mississippi doesn't have a water problem. Only the City of Jackson,catsmans1,United States,1,0,0,0
9,2021-03-04 20:21:28+00:00,1367570911579287552,"@MeetThePress @HowardAuthor There were also problems with frozen water pumps that distribute water to the city. But the issue at the heart of everything is money: #Jackson city leaders have been saying for decades that more money is needed to repair the infrastructure here. 
 
(2/2)",MorganRadford,NYC,1,3,15,0
10,2021-03-04 20:20:40+00:00,1367570709493534729,"@MeetThePress @HowardAuthor Basically, this was a problem decades in the making — and sadly, one that was preventable. This city has a water infrastructure that’s nearly 100 years old in some places. Some of the pipes under this city are made of concrete, which cracked when the water inside froze.
 
(1/2)",MorganRadford,NYC,1,5,22,2
11,2021-03-03 16:27:00+00:00,1367149520505692163,"Those of y’all who write off Mississippi and condemn us to death because of the state’s poor representation are part of the problem.

Water isn’t political and Jacksonians are suffering.",calvertlamon,"Jackson, MS",3,54,197,2
12,2021-03-03 02:55:31+00:00,1366945304474492929,@sisler_beverly @MSNBC The state isn't responsible for the city of Jackson's water. It's a city problem,AlanBuckles,,1,0,2,0
13,2021-03-02 21:29:35+00:00,1366863278396346369,Governor: We’ll have to have a serious conversation long term with all interested parties (about the water problems) and that’s very important.,keeganfoxx,"Jackson, MS",0,1,1,0
14,2021-02-28 17:40:09+00:00,1366080764719333376,@HindsEOC You nincompoops should fix the broken water lines it wouldn't be a problem. You should have had a plan for the cold weather to begin with.,AlanBuckles,,0,0,0,0
15,2021-02-25 00:17:15+00:00,1364731148602134528,@kaylahazel_ our north been complaining about water too. but my house never had any problems 😶 ( i stay out north ),GaredQuinn,"Jackson, MS",0,0,0,0
16,2021-02-24 13:52:51+00:00,1364574012282728449,@jordanrhillman Exactly. He’ll take credit for “fixing” a problem that won’t exist because he waited until it was handled. Meanwhile because of turbidity in the water we’ll likely be under a boil water notice for the next 7-10 days .,FBrownWilliams,"Jackson, MS",0,0,0,0
17,2021-02-23 04:58:04+00:00,1364077039641374721,"Jackson water outages continue to affect businesses. At this time there is no exact timeframe as to when this water problem will be fixed, although the city is hoping it will be up and running by the end of the week. @WJTV https://t.co/UFH4h90JPu",GaryB_WJTV,"Jackson, MS",0,1,6,0
18,2021-02-17 20:07:09+00:00,1362131491917070338,Thanks for telling me about the water problem after I’ve brushed my teeth and made noodles with the water 🙂,janaisanders15,Mississippi,0,0,0,0
