,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
16,2021-05-25 17:00:14+00:00,1397236074280259591,"Growing the perfect oyster relies on a very specific set of conditions. At The Nature Conservancy in Mississippi, we like to focus on how much salt is in the water, the temperature of the water, and the health of the water flowing through their habitat to name a few. https://t.co/mfzz8PwMBZ",ms_nature,"Madison, MS",0,0,1,0
17,2021-05-25 14:02:35+00:00,1397191369169506313,"WHO WE ARE &gt;&gt; 

The South's Original Water Company
Here at Exell we take our company heritage seriously. We are proud to be a family business, founded by Mr. Exell Calhoun in his historic neighborhood in Jackson, Mississippi. 

READ MORE HERE &gt;&gt;https://t.co/CQFL540ymq https://t.co/wiZwIYOHLG",ExellCompanies,"Brandon, Mississippi",0,0,0,0
18,2021-05-25 03:03:48+00:00,1397025580240019460,Just a reminder; Some people in Jackson &amp; Byram Mississippi have been w/o water for at least a week.,Wem62036000,"Jackson, MS",0,1,2,0
19,2021-05-23 23:54:18+00:00,1396615505176313857,Leave @DanaBeers_ alone he was off the water on intoxicated when he text which is another reason he needs to come back to JACKSON MISSISSIPPI. We’re in discussions to have a @DanaBeers_ section at all home games @barstoolsports suggested of course. https://t.co/yptbmr9Xt2,DeionSanders,"Jackson, MS",3,8,489,0
20,2021-05-23 14:00:27+00:00,1396466057536233474,"This is Haley Hughes, one of our Field Conservation Practitioners, and she's here to tell us about Soak Day. 
​​Hydration is crucial to the survival of the Gopher Tortoise which is why we give our gopher tortoises a soak every other week and regularly give them water. https://t.co/ndvQNM7iid",ms_nature,"Madison, MS",0,0,1,0
21,2021-05-01 04:14:03+00:00,1388345950268166148,Get to Jackson and the first thing posted in the hotel is a boil water notice. Definitely in funky 🤬 Mississippi,EBALDWIN5,"Huntsville, AL",0,0,0,0
22,2021-04-30 15:36:07+00:00,1388155209076068362,"Due to low to no water pressure, the Mississippi Library Commission will be closed for the rest of the day.

Stay safe out there!",MSLibraryComm,"Jackson, MS",0,1,0,0
23,2021-04-24 00:50:02+00:00,1385757891014049799,"Played my first Mississippi round today at Bear Pen Park in Cleveland, MS. A decent city park course that features a lake, small creek, lots of OB and long-ish par 3s. Heavy wind forced me to play it safe by the water.
Comp: Round Barn DGC - Manhattan, IL
Fav: Hole 14
Round: 847 https://t.co/fR10abHE5K",DiscTraveling,"Illinois, USA",0,0,1,0
24,2021-04-09 22:17:41+00:00,1380646122633453570,"From Mississippi to  Michigan - water is a human right! 

No debt for dirty water! https://t.co/gXFUgsX9MH",MelissaAGarriga,"Pascagoula, MS",1,6,14,0
25,2021-04-04 15:22:53+00:00,1378729795576532998,Thank You Cousin @CharlieDates @ProgressChicago @jonmcreynolds Easter Worship &amp; Walk On The Water ✝️🙏🏾✝️ Mississippi ✝️🙏🏾✝️ #Easter #EasterSunday #Resurrection #ResurrectionSunday #DaSip #Mississippi #Illinois https://t.co/VqcEhiWT7z,i_AmMyBrand,United States,0,0,1,0
26,2021-04-04 12:55:31+00:00,1378692711604088834,"Imagine not having clean and safe drinking water. Let's support @omarforphilly our City Commissioner Omar Sabir effort to send bottled water to #jacksonmississippi @ Jackson, Mississippi https://t.co/mHp6yHyg7O",mstraceygordon,"Philadelphia, PA",0,0,0,0
27,2021-04-04 03:38:24+00:00,1378552504733028353,"The Primaries are Tuesday and candidates across Mississippi are getting ready. In Jackson, one candidate held a food and water giveaway. Read More: https://t.co/2Njby3X21w @WJTV",MyBroadcastLife,"Hattiesburg, MS",1,3,6,0
29,2021-03-21 12:49:28+00:00,1373617757770645505,"Then in Prentiss, The Way There! LLC, Mississippi Shine Project, From Prison to Purpose and Mississippi MOVE worked with local volunteers, great food by Williams' Catering of Prentiss and P's Ribs &amp; More of Bassfield to give out nearly 400 plates, 300 cases of water...",MississippiMOV1,Mississippi communities,1,0,1,0
30,2021-03-18 02:09:35+00:00,1372369560683286529,"Good news on the Jackson Mississippi Boil Water Front!

https://t.co/j2nz3LfcMH",WillBenton1,"Ore’Yonder, USA",1,0,1,0
31,2021-03-14 20:50:47+00:00,1371202168213139456,"@kabumped Not that anyone ever cares about Mississippi, but we still don’t have drinkable water.  I’m fucking sick of buying bottled water. I’m out and am too lazy to go to the store, and I’m so thirty.  I’m dying. 😭😭😭",YEMolly,Deep Fucking South,3,0,8,0
32,2021-03-13 03:01:03+00:00,1370570575463211013,"Nearly one month after the Mississippi's frigid ice and snow, residents in Jackson — the capital city — still have to boil their water before using it. Photos for @nytimes with reporting by @ea_fentress. Big thanks to editor @hcaseyphoto. Link: https://t.co/gkGjFqqnLo https://t.co/e5KrlmnhxH",rorydoylephoto,"Mississippi, Mexico",0,5,26,1
33,2021-03-13 01:40:10+00:00,1370550219247648770,"Saturday’s @clarionledger front page. 

Here’s your daily reminder that people in Jackson, Mississippi, still can’t drink their water. Some still haven’t had water restored. 

Day 25. https://t.co/Abf2PzXloj",marlonawalker,"Jackson, MS",1,47,45,1
34,2021-03-12 01:24:58+00:00,1370184004117356554,"...who may be without food and have difficulty with water, have access to these essential resources, in a way that is safe and follows Covid-19 social distancing guidelines.

For more information about this event or about Mississippi MOVE, call 662-205-6683 or 601-543-9600.",MississippiMOV1,Mississippi communities,0,0,0,0
35,2021-03-08 16:08:26+00:00,1368956787555196934,"Mississippi weather crisis relief volunteers needed! If you are interested in helping deliver food and water in our Mississippi communities, sign up to be a volunteer today at https://t.co/x1CXsOGfX2 https://t.co/zAgY14Gbed",MississippiMOV1,Mississippi communities,1,1,1,0
39,2021-03-06 16:13:59+00:00,1368233407893954565,"Currently in Jackson, Mississippi distributing 2,400 boxes of water and food to residents who have been without for at least three weeks. 

The line is wrapped around downtown Jackson. Distribution starts at 11:00 and is on a first-come first-serve basis. 

#JacksonMississippi https://t.co/PcgbyJakk3",MarquiseHunt,United States,1,3,4,0
41,2021-03-05 09:56:59+00:00,1367776144674656256,"Citizens of Jackson: ""hey - we haven't had water for going on 3 weeks?"" 

Governor of Mississippi: ""LOOK - Squirrel 🐿️ 👀"" 

@Morning_Joe 
@MSNBC 
@JoeNBC 
@FowlerSarah 
@MeetThePress https://t.co/iSxdPFkPyY",BoiJuanda,"Jackson, MS",0,6,24,0
44,2021-03-04 03:56:36+00:00,1367323062727811080,"Nearly 200K people in #Mississippi tonight without drinkable water — many without running water for more than 2 WEEKS. 

Thank you to the community of people who worked hard to bring attention to this plight — and to the brave people of #Jackson for sharing your stories. https://t.co/5KHORPEwcY",MorganRadford,NYC,19,155,262,25
47,2021-03-03 14:38:46+00:00,1367122282125135873,"It’s been over two weeks without water in Jackson, Mississippi...does anyone in charge care about how many locally owned businesses this is severely hurting!? I can’t work or live like this. #jacksonmississippi",l0l1gag,"Mississippi, USA",1,1,0,0
48,2021-03-03 03:03:29+00:00,1366947305790857217,"@RockyMountViews No, but I live in Greenville,  MISSISSIPPI and you would drink bottled water too if you tasted our water. I've adjusted to taking a bath in brown water.",margaretkibbee,,0,0,1,0
49,2021-02-27 16:08:14+00:00,1365695246701576197,"Jacksonians! Stop by 4th Avenue Lounge on 209 South Lamar Street and pick up some free water! 

We teamed up with other local businesses to make this happen. We love you Jackson, Mississippi!!! https://t.co/og6Hkmbpw6",1CACHPro,"Jackson, Ms",0,8,10,2
50,2021-02-26 18:42:45+00:00,1365371743062421508,"Jackson Mississippi has been with out water also. No drinking water in stores.  No water to bathe,flush toilets.",KimieVardaman,,0,0,0,0
51,2021-02-25 21:24:43+00:00,1365050114419621891,why does mississippi and louisiana have no water??? lol y’all that broke?,luisxvaz,"Birmingham, AL",0,0,0,0
52,2021-02-23 00:16:23+00:00,1364006151612891136,"Need water come get it 

Samuel Bailey 

#jacksonmississippi #hindscounty #mississippi @ Jackson, Mississippi https://t.co/FafUMPwsKY",KrazyEntLlc,"Jackson, MS",0,1,1,0
53,2021-02-21 05:14:48+00:00,1363356477092622337,"This week’s winter storm was rough for Mississippi. In Lorman, ASU’s NAACP is working to provide Alcornites on campus with food, water, + other essentials used during the storm. Donations are welcomed from all in our beloved state. Together, we are #BraveStrong! @ASUNAACPCHAPTER https://t.co/GifWnAokiC",baadgaalzaay,ATL ✈️ MS. ,0,2,1,1
54,2021-02-21 03:32:22+00:00,1363330699374256129,"This week’s winter storm was rough for Mississippi. In Lorman, ASU’s NAACP is working to provide Alcornites on campus with food, water, + other essentials used during the storm. Donations are welcomed from all in our beloved state. Together, we are #BraveStrong! @ASUNAACPCHAPTER https://t.co/6zw8r8bDbS",810rome,"Flint, MI",0,0,0,0
55,2021-02-21 02:54:55+00:00,1363321272814497793,"This week’s winter storm was rough for Mississippi. In Lorman, ASU’s NAACP is working to provide Alcornites on campus with food, water, + other essentials used during the storm. Donations are welcomed from all in our beloved state. Together, we are #BraveStrong! @ASUNAACPCHAPTER https://t.co/IzOIsrxiAl",calvertlamon,"Jackson, MS",1,81,84,11
