,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
0,2021-05-19 03:03:23+00:00,1394851147563872264,"Water issues in the city again?  SMH

#JacksonWaterCrisis",FNULNU1,,0,0,0,0
1,2021-04-24 02:14:03+00:00,1385779037126148096,#JacksonWaterCrisis https://t.co/OFuCz2zYa9,Backstorymom1,,0,0,0,0
2,2021-04-21 12:26:37+00:00,1384846032329138176,Anyone with mobile video of the #jacksonwatercrisis please reach out to mignonn@cbsnews.com.,nicolahann,"New York, NY",0,0,0,0
3,2021-04-07 21:13:26+00:00,1379905176711073792,#FlintWaterCrisis #JacksonWaterCrisis https://t.co/hSDH2MCkeS,JalenRoseBat,Imported from Detroit,0,0,0,0
4,2021-03-24 17:19:22+00:00,1374772843678949382,#JacksonWaterCrisis https://t.co/Wi1VABjXs2,Backstorymom1,,0,0,0,0
5,2021-03-22 23:57:03+00:00,1374148148172496899,"Jackson Mississippi's Water Crisis is Rooted in Racism https://t.co/ZIXFSjaB0e via @YouTube 
#StatusCoup #JacksonWaterCrisis",ru2inept,The Twilight Zone,0,3,0,0
6,2021-03-20 21:42:07+00:00,1373389416320925702,"Another secession from the union?!? 
#JacksonWaterCrisis 
Wait, what?!! https://t.co/wgnYefgbSb",Backstorymom1,,1,0,0,0
7,2021-03-19 21:14:20+00:00,1373020035875274758,#JacksonWaterCrisis https://t.co/byqOHfxP85,Backstorymom1,,0,0,0,0
8,2021-03-18 04:34:49+00:00,1372406111425470471,#JacksonWaterCrisis https://t.co/siefRNSVT9,Monicadisaster1,"Pennsylvania, USA",0,0,0,0
9,2021-03-18 01:48:40+00:00,1372364299407097858,#JacksonWaterCrisis https://t.co/jX25aQiiEi,Monicadisaster1,"Pennsylvania, USA",0,0,0,0
10,2021-03-17 23:22:22+00:00,1372327479801679875,@SenHydeSmith why the vague language in the bill to help the water crises in #JacksonWaterCrisis  ?,cindylang17,,0,0,0,0
11,2021-03-17 21:36:50+00:00,1372300922047631363,#JacksonWaterCrisis https://t.co/Cn0b5oG6jo,elumos,Earth,0,0,0,0
12,2021-03-17 21:36:20+00:00,1372300794146476035,#JacksonWaterCrisis https://t.co/JihylheYLR,elumos,Earth,0,0,0,0
13,2021-03-17 21:14:48+00:00,1372295378121408519,They still don’t have clean water from faucets in #Jackson #Mississippi??? And people are worried about the Queen of England? #JacksonWaterCrisis https://t.co/gRJn8DTrZV,ziskacomm,"Washington, DC",0,0,0,0
14,2021-03-17 20:43:26+00:00,1372287484328034307,#JacksonWaterCrisis https://t.co/Z5s5DNbMdx,Backstorymom1,,0,0,0,0
15,2021-03-17 16:52:40+00:00,1372229409713881091,We must demand equitable access to water for #JacksonWaterCrisis https://t.co/TpMXB1BejR,MaSs20y8,"Connecticut, USA",0,0,1,0
16,2021-03-17 15:33:10+00:00,1372209402392969227,This city has participatory budgeting as it approaches long neglected equity issues resulting from extractive policies by state government. Weaknesses of water infrastructure as well as health care exacerbated pandemic struggles. #JacksonWaterCrisis https://t.co/85hol6SiBB,odaraia,Salish Sea,0,0,0,0
17,2021-03-17 14:53:01+00:00,1372199296964124674,"Access to water is a human right, it’s been 5 weeks since folx in Jackson had clean drinking water... Donate to the Mississippi Winter Storm Rapid Response here: https://t.co/T3kv6ZNzH6  #JacksonWaterCrisis #WhenRacismTrumpsDemocracy @RukiaLumumba @lumumbasvision https://t.co/gIIMR7acRu",reneechatcher,"Chicago, IL",0,7,6,0
18,2021-03-17 14:42:17+00:00,1372196598130880512,s/o to @ChokweALumumba for that interview on @democracynow this morning. it was the most detailed assessment of the limitations of Black electoral politics I’ve heard in a while. #WhenRacismTrumpsDemocracy #JacksonWaterCrisis #RighttoWater,reneechatcher,"Chicago, IL",0,2,1,0
19,2021-03-17 13:30:49+00:00,1372178610207875074,@Backstorymom1 My God- where are their representatives? #JacksonWaterCrisis,KatrinaHagen2,CA,0,0,0,0
20,2021-03-17 12:24:29+00:00,1372161919440814082,Well water boil water notice was lifted here in Jackson after almost a month... but some businesses still closed because of it! Surface water still has boil water notice. #JacksonWaterCrisis https://t.co/Red6rCOwXS,Ginger_Zee,New York,4,9,39,0
21,2021-03-16 03:24:04+00:00,1371663531360288769,"L O U D E R 🗣 
Throw in #JacksonWaterCrisis 
M I S S I S S I P P I https://t.co/WFEFKCj59F",Backstorymom1,,0,7,5,0
22,2021-03-16 02:55:29+00:00,1371656335260008448,#JacksonWaterCrisis https://t.co/6hjz4YzW5c,Backstorymom1,,0,2,2,0
23,2021-03-15 23:50:05+00:00,1371609680133419009,"@EPAwater why haven't full attention been given to #JacksonWaterCrisis? 
Jackson MS needs clean water.",da_minister13,"South Florida, USA",0,5,2,0
24,2021-03-15 15:35:23+00:00,1371485184382566408,"Racial disparities run deep in the US, including access to disaster relief. America is a 1st world country, with third world problems. #WaterIsLife #JacksonWaterCrisis  https://t.co/ftnzFjZtNX",n_timmerman,"Edmond, OK",0,1,1,1
25,2021-03-14 23:35:13+00:00,1371243550420185095,"@kay_suigeneris I agree with u, this is one heck of an article &amp; the opinion of the writer is right ..... Mississippi Goddam  ~ #JacksonWaterCrisis #Poverty #Racism",cupcake0804,,1,0,1,0
26,2021-03-13 20:39:05+00:00,1370836837900632073,"#JacksonWaterCrisis M I S S I S S I P P I

Next time, 'it will be worse': Jackson, Mississippi, water crisis is a warning, residents say https://t.co/0UqnWzKIiS",Backstorymom1,,0,1,0,0
27,2021-03-13 16:24:34+00:00,1370772786650746880,"This is so infuriating!!!! #JacksonWaterCrisis 
#JACKSON #MISSISSIPPI https://t.co/LXYthtYjWe",Monicadisaster1,"Pennsylvania, USA",0,0,0,0
28,2021-03-12 21:12:00+00:00,1370482731260465154,"Mississippi's capital city enters week 4 of a water crisis: Here's how it got to this point.

Read More: https://t.co/kZ6xF6dDbV
#JxnNeedsWater #JacksonWaterCrisis #WaterCrisis",Civilgeo,"Wisconsin, USA",0,0,0,0
29,2021-03-12 20:51:32+00:00,1370477583935143937,Week 4?!!! #MSWaterCrisis #JacksonWaterCrisis @EPA @VP @congressdotgov https://t.co/hJq8CUIDCN,BonnieSalm,"Chicago, IL",0,4,3,0
30,2021-03-12 20:49:45+00:00,1370477132019855371,"these people don’t even have the most basic necessity and roughly 1/2 of our elected officials are chaotically spreading false info about potatoes and children’s books. Something  is really, really broken.  HELP #JacksonWaterCrisis https://t.co/FFVewegFab",upfrontfanatic,Midwest ,0,0,0,0
31,2021-03-12 19:47:50+00:00,1370461550704799747,"L O U D E R 🗣 
#BuriedLede 
#JacksonWaterCrisis https://t.co/AiV6Gw7a3a",Backstorymom1,,0,0,0,0
32,2021-03-11 18:47:18+00:00,1370083931316441094,@annaonair12 Enjoy your #SpringBreak vacation! Great job reporting @WJTV #jacksonwatercrisis 🚰,auditwalk24,,0,0,0,0
33,2021-03-10 20:12:22+00:00,1369742950004056064,#JacksonWaterCrisis https://t.co/TTbCM8aLv0,Monicadisaster1,"Pennsylvania, USA",0,0,0,0
34,2021-03-10 20:10:26+00:00,1369742463368314880,@wwreserve #JacksonWaterCrisis,Monicadisaster1,"Pennsylvania, USA",0,0,0,0
35,2021-03-10 20:10:10+00:00,1369742397693902855,#JacksonWaterCrisis #Mississippi https://t.co/ZieOVt6QG1,Monicadisaster1,"Pennsylvania, USA",0,1,0,0
36,2021-03-09 21:25:00+00:00,1369398839367639041,"Mississippi Water Crisis Highlights Infrastructure Problems

Many residents of Jackson, Miss., remain without running water three weeks after a winter storm hit the city.

Read more: https://t.co/vz2jxgRlcg
#JxnNeedsWater #JacksonWaterCrisis #WaterCrisis",Civilgeo,"Wisconsin, USA",0,1,0,2
37,2021-03-09 20:14:03+00:00,1369380987503845379,"L O U D E R 🗣 
#JacksonWaterCrisis https://t.co/WNadPu4F23",Backstorymom1,,1,1,1,0
38,2021-03-09 02:30:16+00:00,1369113276454420486,"L O U D E R 🗣 
#JacksonWaterCrisis https://t.co/AYa2tVLuPA",Backstorymom1,,0,0,0,0
39,2021-03-08 20:05:50+00:00,1369016530852323333,#JacksonWaterCrisis https://t.co/6HFyOdF1Vh,Monicadisaster1,"Pennsylvania, USA",0,0,1,0
40,2021-03-07 15:19:06+00:00,1368581984579170307,"Black elected Democrats are either corrupt or incompetent. Stop blaming whites for their inability to get things done. 
#JacksonMS #Democrats @NBCNews #JacksonWaterCrisis #DemocratsAreDestroyingAmerica #Biden #Trump 
https://t.co/54YXOGAOdQ",CheeseheadBrian,"Wisconsin, USA",0,0,0,0
41,2021-03-07 10:53:34+00:00,1368515158050496512,Jackson Ms is the new Flint.. #jacksonwatercrisis,Ronmc84516182,,0,0,2,0
42,2021-03-07 00:00:58+00:00,1368350929523793922,"The #JacksonWaterCrisis is happening in the blackest city, in the blackest state in our nation. Donate below to expedite funds to @lumumbasvision who is working tirelessly to assist the people of Jackson.

#JxnNeedsWater #BlackLivesMatter @ChokweALumumba 

https://t.co/cHWwUq9wBl",QuinlanAndCo,"Pennsylvania, USA",1,7,4,0
43,2021-03-06 15:00:14+00:00,1368214845632430080,"While Jackson residents and organizers say they understand the historical nature of the water system's disrepair, city and other Mississippi government leaders also need to plan ahead to prevent this from ever happening again. #JacksonWaterCrisis

https://t.co/6LGNBhlIxt",newsone,"New York, NY",1,4,12,0
44,2021-03-06 14:38:16+00:00,1368209319741755397,What are we doing to help these folks? No water for *11* days?! During a damn pandemic? This is a national disgrace. @NBCNews @cnnbrk @MSNBC @maddow #JacksonWaterCrisis @SenBobCasey @SenToomey @RepScottPerry @POTUS @GovernorTomWolf @fema https://t.co/lgpy6Gk32y,RAnselmo_Jordan,,1,0,0,0
45,2021-03-06 02:05:10+00:00,1368019793991897089,"Could water service be restored in Jackson, Mississippi? #JacksonWaterCrisis. https://t.co/EiktqtRUJA",TheTornadoNews,"Orange, NJ",0,0,0,0
46,2021-03-06 01:03:49+00:00,1368004355765440513,"#JacksonWaterCrisis 

Need help? Want to help? 

 https://t.co/9Af7azfL4N",johnwbateman,"Starkville, MS",0,0,0,0
47,2021-03-05 17:10:45+00:00,1367885306758901770,#JacksonWaterCrisis https://t.co/caIJ72ll90,Monicadisaster1,"Pennsylvania, USA",0,0,0,0
48,2021-03-05 15:56:49+00:00,1367866699261820929,"First national coverage that I have seen about this. Been saying for a while that the #JacksonWaterCrisis water situation is on par/worse than Flint (and like Flint Jackson gets ignored because it's a black city) 

#FBA #B1 #NoAntiBlackRacism #Mississippi

https://t.co/bOxePCkdGd",RacistOTW,Exposing someone,1,0,0,0
49,2021-03-05 13:55:24+00:00,1367836143958560771,Also special thank you to the people who contributed to donations! We raised $100 towards potable water for Jackson residents! #JacksonWaterCrisis,LifestyleKris,"Mississippi, USA",1,0,0,0
50,2021-03-05 01:58:32+00:00,1367655737002975237,"A closer look at the water crisis in Jackson, Mississippi. #JacksonWaterCrisis. https://t.co/CCBK6LVEvR",TheTornadoNews,"Orange, NJ",0,1,1,0
51,2021-03-05 00:01:10+00:00,1367626200915603458,"17 days and counting without potable water in Jackson's predominantly Black neighborhoods. White state government officials claim its not their problem. This is systemic racism folks. Read this story and you will understand.

#JacksonWaterCrisis

https://t.co/HtzgkzczHM",dustinfalgout,"Biloxi, Ms",4,51,58,6
52,2021-03-04 22:11:20+00:00,1367598560636764160,"130-180 billion dollars. That’s bill for the #TexasBlackout (higher figure includes neighboring states). Tally is increasing by the hour, with water issues in #JacksonWaterCrisis. That makes it the most expensive climate shock in the US. By a factor of 10 from number 2.",Uptheleft,"New Haven, CT",0,0,0,0
53,2021-03-04 21:08:20+00:00,1367582707052666883,@HindsEOC #JacksonWaterCrisis,Monicadisaster1,"Pennsylvania, USA",0,0,0,0
54,2021-03-04 16:51:32+00:00,1367518081204051970,"#JacksonWaterCrisis #Mississippi 
#JACKSON  💙💧 #DAT https://t.co/J5gbfUE7LI",Monicadisaster1,"Pennsylvania, USA",0,4,3,0
55,2021-03-04 15:59:13+00:00,1367504915212488715,What are we doing to help these folks? No water for 10 days?! During a damn pandemic? This is a national disgrace. @NBCNews @cnnbrk @MSNBC @maddow #JacksonWaterCrisis @SenBobCasey @SenToomey @RepScottPerry @POTUS @GovernorTomWolf @fema https://t.co/e9VJBOR7JM,RAnselmo_Jordan,,0,0,0,1
56,2021-03-04 03:53:57+00:00,1367322394130546689,"How does Jackson not have water for 2 weeks and it's not a bigger story? How was this information not wider spread?
 #JacksonWaterCrisis",nana991498,NY,0,1,1,0
57,2021-03-04 03:48:00+00:00,1367320898210983938,@adriawalkr @Dr_Smart_B And has continued to cover for the past two days-tonight interviewed the mayor of Jackson #maddow #JacksonWaterCrisis,AnnaBonanz,"Playa del Rey, Los Angeles",0,0,2,0
58,2021-03-04 03:27:40+00:00,1367315780010975233,"How many folks in Jackson are still without water? 
#JacksonWaterCrisis https://t.co/p6KiGE14EV",johnwbateman,"Starkville, MS",0,0,1,1
59,2021-03-04 03:24:03+00:00,1367314872434913280,#JacksonWaterCrisis #Mississippi https://t.co/Z7aiMhxVjg,elumos,Earth,0,0,0,0
60,2021-03-04 03:20:54+00:00,1367314080072151040,#JacksonWaterCrisis https://t.co/2riigWeQfv,sggomg,Somewhere in hell. ,0,1,0,0
61,2021-03-04 02:56:30+00:00,1367307938499604480,"I am horrified about the water disaster in Jackson, MS. But hearing Jackson’s mayor on NPR and then seeing him on Rachel, well, I’ll do whatever I can to help the city and I look forward to more sightings. #JacksonWaterCrisis",lauramkeane,"St. Petersburg, FL",0,0,0,0
62,2021-03-04 02:54:07+00:00,1367307339536211973,"What are some orgs who are on the ground helping with the #JacksonWaterCrisis? Our team will try to get some donations flowing. 

@ChokweALumumba @BennieGThompson @BGThompsonMS",heyyergs,"Pennsylvania, USA",0,1,2,0
63,2021-03-04 02:52:10+00:00,1367306848978821124,"Jackson, Mississippi #watercrisis rages on. Speaking with @SenBrianSchatz @SenWhitehouse staff today about direct community investment for climate change solutions. Like #Flint #JacksonWaterCrisis needs water infrastructure to be resilient. https://t.co/w51AfO1Sra via @nbcnews",MXLDET,detroit mi,0,0,0,0
64,2021-03-04 02:49:35+00:00,1367306198882656263,#JacksonMississippi doesn't even have water to wash their hands during a #pandemic!  Don't let the story die until they get potable water. #JacksonWaterCrisis https://t.co/I5xjqJObfD,shelfemployed,USA,0,0,0,0
65,2021-03-04 02:48:26+00:00,1367305909538553858,"#maddow 

Infrastructure and utilities in the country are a sad and sorry disgrace! What century is this?

#JacksonWaterCrisis #TexasFreeze @senatedems @VP @housedemocrats",Informed_Un,Earth,0,0,0,0
66,2021-03-04 02:47:15+00:00,1367305609515778052,#JacksonWaterCrisis #texaswatercrisis #RepublicansAreTheProblem #drsuess,Knowletup,"New York,NY",0,0,0,0
67,2021-03-04 01:48:54+00:00,1367290924686929922,@TheView  @sunny  Like the #gop has said repeatedly we have to stop bailing out failed blue states like #JacksonWaterCrisis  #Mississippi #MAGA #trump why are they asking for money now?,daniel3001944,,0,0,0,0
68,2021-03-04 01:27:15+00:00,1367285479838781445,"Jackson, Mississippi has been without running water for weeks. #JacksonWaterCrisis           https://t.co/JqIpJOZAH2",TheTornadoNews,"Orange, NJ",0,0,0,0
69,2021-03-04 01:14:07+00:00,1367282170750984193,Having running water would be pretty neat! #JacksonWaterCrisis #JacksonMS,k_benz_,,0,0,2,0
70,2021-03-04 01:05:33+00:00,1367280018473246722,"#waterbill 💧💸

#AustinWater 
#JacksonWaterCrisis 
#water 
#utilities https://t.co/eUPaTcfMnY",Monicadisaster1,"Pennsylvania, USA",0,0,0,0
71,2021-03-03 23:39:44+00:00,1367258419959332866,#JacksonWaterCrisis #JacksonNeedsWater https://t.co/FfNi1uto65,dmom2124,,0,0,2,0
72,2021-03-03 23:34:37+00:00,1367257130982547456,#JacksonWaterCrisis https://t.co/crkefnfCbH,rhon24hourmama,"Portland, OR",0,0,0,0
73,2021-03-03 23:09:51+00:00,1367250901182865412,"@tatereeves Residents in your Capitol city have been without running water for 2 weeks and counting.

You're right. Mississippians don't need handlers. They need competent governance, something they've sorely lacked forever.

#JacksonWaterCrisis",Brosephus4,Wakanda. Forever,0,12,77,0
74,2021-03-03 22:05:04+00:00,1367234595289264137,"In case you were unaware, Jackson, Mississippi is in a water crisis. Jackson residents are primarily African American. #blacklivesmatter #institutionalracism #Jacksonwatercrisis https://t.co/KJDSGIKEMb",LiberalResist,"San Francisco, CA",0,4,3,0
75,2021-03-03 22:00:48+00:00,1367233521748742152,"In case you were unaware, Jackson, Mississippi is in a water crisis. Jackson residents are primarily African American. #blacklivesmatter #institutionalracism #Jacksonwatercrisis https://t.co/cepzN23Wtz",OurProgressive,"San Francisco, CA",0,3,9,0
76,2021-03-03 20:05:48+00:00,1367204580543578112,"@fubarrdog @JasonKander Tell the people of Jackson, Mississippi how great their running water is. #JacksonWaterCrisis",elisedowner,"Blue City, Red State, USA",0,0,16,0
77,2021-03-03 19:20:15+00:00,1367193120086065159,"Jackson, Mississippi deserves clean water. #JacksonWaterCrisis https://t.co/3rOpMqnIwh",lmauricecpr,Improving Communities ,0,9,13,0
78,2021-03-03 19:15:17+00:00,1367191870028320771,#JacksonWaterCrisis https://t.co/ZKH1nS5zQ9,hodgins_debra,,0,0,1,0
79,2021-03-03 18:34:10+00:00,1367181520549666816,"Jackson, Mississippi is being ignored because the city is 79.4% Black. #JacksonWaterCrisis",lmauricecpr,Improving Communities ,11,74,128,5
80,2021-03-03 18:32:36+00:00,1367181127895646220,"Jackson, Mississippi is being ignored because the city is 79.4% Black. #JacksonWaterCrisis",lmauricecpr,Improving Communities ,1,10,26,2
81,2021-03-03 18:30:00+00:00,1367180474838380553,"While Jackson residents and organizers say they understand the historical nature of the water system's disrepair, city and other Mississippi government leaders also need to plan ahead to prevent this from ever happening again. #JacksonWaterCrisis

https://t.co/cJ8MI8OJYC",newsone,"New York, NY",0,1,5,0
82,2021-03-03 17:36:43+00:00,1367167064427925509,"Moss Point Drop Off Location for water: 4600 Payne St, Moss Point MS 39563 #JacksonWaterCrisis https://t.co/ZIbrGEhOfa",LifestyleKris,"Mississippi, USA",1,1,0,0
83,2021-03-03 17:10:31+00:00,1367160469551775745,"Ever heard of the #FlintWaterCrisis of Flint, Michigan -- @LittleMissFlint reported on the city's water crisis that waged war against residents for HALF A DECADE!

I just hope that it does not take the same amount of time to remedy the #JacksonWaterCrisis that it took Flint. https://t.co/VNX9llyfCb",JusMott,"Boston, New York, DC",0,0,0,0
84,2021-03-03 16:04:23+00:00,1367143825743962112,#WaterOutage #Flint #JacksonWaterCrisis 💧💧💧 https://t.co/DEClXSXAOd,queenalwayz,"Detroit, MI",0,0,0,0
85,2021-03-03 15:58:41+00:00,1367142392290246656,Passed a Uhaul rental pickup towing several tanks of water on the way to work this morning because @tatereeves would rather create new problems than solve old ones. #JacksonWaterCrisis,geoffdua,"Jackson, MS",0,1,1,0
86,2021-03-03 15:32:13+00:00,1367135734348546052,"#JacksonWaterCrisis 
(4 weeks ago)

https://t.co/MHpJmrsOPK",Backstorymom1,,0,0,0,0
87,2021-03-03 15:30:58+00:00,1367135419373146120,"#JacksonWaterCrisis 

Thousands of Jackson residents enter third week without running water https://t.co/e8vXVI5pWF",Backstorymom1,,0,0,0,0
88,2021-03-03 15:26:20+00:00,1367134252844912641,"#JacksonWaterCrisis

Jackson, Mississippi, water crisis brings to light long-standing problems in city https://t.co/euNtEXT1jc",Backstorymom1,,0,0,1,0
89,2021-03-03 14:48:03+00:00,1367124617203249160,"Jackson, Mississippi doesn't know when its residents will have available safe drinking water. This is an incompetent government. Unacceptable. People we gotta rally water is a basic need for life.
#JacksonWaterCrisis

https://t.co/hbf49pSiFC",kcResister,"Florida, USA",0,2,1,0
90,2021-03-03 13:21:37+00:00,1367102864766738436,"Three weeks. 

Half the people in their own state capital have been without clean water for over 3 weeks, in the middle of a pandemic, but their governor decides the important thing is to lift COVID restrictions like everything’s fine. 🤬🤬🤬 #JacksonWaterCrisis",lbrass3,"Maryland, USA",0,4,4,0
91,2021-03-03 12:57:52+00:00,1367096887376044033,"Another banner day for racism in America: AZ/GA #votersuppression, #JacksonWaterCrisis, #NeeraTanden nixed, U Texas alumni tell black athletes to leave, and of course #MinimumWage still at a disgraceful $7.25.",BrockGaneles,,0,0,1,0
92,2021-03-03 12:13:21+00:00,1367085686810107904,They love blaming the mayor but havent booked the governor who hasn't been doing anything 😒😒😒😒 #JacksonWaterCrisis,nj7174_jones,The South ,0,0,0,0
93,2021-03-03 07:24:33+00:00,1367013008522805251,The #JacksonWaterCrisis in Mississippi is tantamount to a failed state. No human population should be w/o access to clean running water. More &amp; more US cities continue to lose basic necessities; we must reinvest in US infrastructure before our systems fully collapse. #WaterIsLife https://t.co/KG1mMFf2jk,Ryan_Deitsch,"Parkland, FL",0,11,20,0
94,2021-03-03 06:16:19+00:00,1366995835007893506,"wtf people are like 70% water, we need it to survive. This isn't ok. #JacksonWaterCrisis https://t.co/AaDwVyL75c",this1wierdgirl,"Somewhere Over Here, I think",0,0,0,0
95,2021-03-03 06:06:18+00:00,1366993316756258819,One thing about the #JacksonWaterCrisis is poor Byram fought not be incorporated for years for this very reason. Now their water service sucks too.,dogsmycopilot,"Jackson, Mississippi",0,0,0,0
96,2021-03-03 06:03:18+00:00,1366992559629721600,"@GeorgeTakei #JacksonWaterCrisis 
https://t.co/Zmoclw8jQe",msvespa,"Los Angeles, CA",1,1,2,0
97,2021-03-03 05:00:47+00:00,1366976826019618817,"Classic red herring with lifting the mandate. 😷 Don’t forget folks in TX and MS are still struggling with power, water, and electric bills...among other things like legislators in many states working to restrict voting access. Ah well...carry on 💁🏽‍♀️ #Abbott #JacksonWaterCrisis",drdnwd,"Memphis, TN",0,0,1,0
98,2021-03-03 04:54:29+00:00,1366975240165801986,"Water distribution 💧
#JACKSON #MISSISSIPPI 

#JacksonWaterCrisis #DAT https://t.co/wGwsCxmeJQ",Monicadisaster1,"Pennsylvania, USA",0,21,18,0
99,2021-03-03 04:26:27+00:00,1366968187544338436,#JacksonWaterCrisis #JacksonMS https://t.co/476rv3YxDV,Beasley811,Na,0,0,0,0
100,2021-03-03 02:58:25+00:00,1366946033553469443,"@GeorgeTakei @BlueMark55 #JacksonWaterCrisis 
https://t.co/Zmoclw8jQe",msvespa,"Los Angeles, CA",0,2,4,0
101,2021-03-03 02:48:44+00:00,1366943595471589376,"In Jackson, Mississippi, some residents have been without water going on two weeks - CNN

#JacksonWaterCrisis  https://t.co/af1tqanO4W",Resistance411,United States,0,1,0,0
102,2021-03-03 02:45:36+00:00,1366942805776498693,"@GeorgeTakei #JacksonWaterCrisis on #TheReidOut 
https://t.co/42qxgBIyFz",msvespa,"Los Angeles, CA",0,3,4,0
103,2021-03-03 02:44:02+00:00,1366942414401798144,"Here's #TheReidOut on #JacksonWaterCrisis
https://t.co/42qxgBIyFz",msvespa,"Los Angeles, CA",0,0,3,0
104,2021-03-03 02:40:19+00:00,1366941478186934276,"#TheReidOut #JacksonWaterCrisis
https://t.co/42qxgBIyFz https://t.co/1H29v4cyST",msvespa,"Los Angeles, CA",0,1,3,0
105,2021-03-03 02:36:43+00:00,1366940569793159169,#JacksonWaterCrisis #JacksonMSWaterCrisis https://t.co/S25GM786id,HeadedToTherapy,,0,0,0,0
106,2021-03-03 02:35:47+00:00,1366940336178810883,"What's happening in Jackson is chilling. 
#JacksonWaterCrisis #Mississippi https://t.co/DPvCTG0MST",Kimshasa,Chicago,0,0,0,0
107,2021-03-03 02:34:06+00:00,1366939914256994306,@ImSpeaking13 Disgusted #JacksonWaterCrisis #JacksonMSWaterCrisis,HeadedToTherapy,,0,0,0,0
108,2021-03-03 01:12:25+00:00,1366919359000551427,@POTUS @VP @mishacollins why isn't anyone talking about Jackson Mississippi being without water?? #JacksonWaterCrisis,unsilent_stephy,Nevada,0,0,1,0
109,2021-03-03 01:11:30+00:00,1366919126288113664,@bjsburner @GoodKidDadCity @vladduthiersCBS @celebrityhottub @CBSNews @JanetShamlian Thank you; this city is 82% Black. #WhiteFlight #JacksonWaterCrisis #JacksonMSWaterCrisis,HeadedToTherapy,,0,0,1,0
110,2021-03-03 01:08:32+00:00,1366918381581066241,#JacksonWaterCrisis #JacksonMSWaterCrisis https://t.co/1zV1HCqeAP,HeadedToTherapy,,0,0,0,0
111,2021-03-03 01:07:52+00:00,1366918209878822913,82% Black 💡 #JacksonWaterCrisis #JacksonMSWaterCrisis https://t.co/yVSMsHkdEd,HeadedToTherapy,,0,0,0,0
