,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
0,2021-05-06 18:25:41+00:00,1390372209244397569,"It's also refreshing that Dr. Williams does not deny the mistakes and personnel failures. In fact, he talks a lot about those errors and causes for them with @nickjudin in this urgent interview re ongoing #jxnwater crisis. https://t.co/bJ9L7ikvju",DonnerKay,Jackson,1,2,8,0
1,2021-05-06 18:24:45+00:00,1390371974375952386,The only way journalism is done well about #jxnwater crisis is to break down and discuss the systemic challenges that lead to low pay and under-qualified workers making errors. Dr. Williams gets real with @nickjudin in this interview. https://t.co/LT3QKAjaYV,DonnerKay,Jackson,0,0,2,1
2,2021-05-06 18:23:34+00:00,1390371678652411917,"Read @nickjudin's thread about his new interview with Dr. Charles Williams about #jxnwater plant challenges, staffing issues and errors. They go deep, and it's important if you care about solving this issues. This interview shows how mistakes are results of systemic issues. https://t.co/SFMjNQGEnd",DonnerKay,Jackson,0,1,3,0
3,2021-05-04 00:00:07+00:00,1389369208388083726,"The City of Jackson declared municipal water once again safe to drink this morning after an electrical fire erupted at the O.B. Curtis Water Treatment Plant early Friday morning, prompting a plant shutdown for fire mitigation and repairs. #JXN #JXNwater https://t.co/SK2qveDrSR https://t.co/f8HfIcDi2f",JxnFreePress,"Jackson, Mississippi",0,0,0,0
4,2021-05-03 21:00:16+00:00,1389323950568755203,"A drop in water pressure after a fire at the O.B. Curtis Water Treatment Plant prompted a required boil-water notice for all city connections over the weekend, adding additional woes to Jackson’s ongoing water crisis. #JXN #JXNwater https://t.co/kuNztm3Yti https://t.co/965GFhNMZH",JxnFreePress,"Jackson, Mississippi",0,0,0,0
5,2021-05-03 18:08:22+00:00,1389280688935931906,"The City of Jackson declared municipal water once again safe to drink this morning after an electrical fire erupted at the O.B. Curtis Water Treatment Plant early Friday morning, prompting a plant shutdown for fire mitigation and repairs. #JXN #JXNwater https://t.co/SK2qveDrSR https://t.co/rAPCeCUGNg",JxnFreePress,"Jackson, Mississippi",0,1,0,1
6,2021-05-01 23:45:19+00:00,1388640711566888962,"@JessTheBest621 @CNN Read @MSFreePress reporter @NickJudin's #jxnwater series, especially this one to understand this in detail here. First two parts are linked at the bottom: https://t.co/cgBZuWui1u",DonnerKay,Jackson,0,0,1,0
7,2021-05-01 03:53:41+00:00,1388340824203829249,Reporter @nickjudin with what we know so far about Jackson's lack of safe water again this weekend. #JXNWater https://t.co/huKKVHiG0C,DonnerKay,Jackson,1,1,3,0
8,2021-04-30 14:13:44+00:00,1388134476165828611,"Here we go again, Jackson. Hopefully, it won't last long. #Jxnwater https://t.co/fPEJAQyRB4",DonnerKay,Jackson,0,2,2,0
9,2021-04-24 14:42:26+00:00,1385967371949576198,"@MSfishOn Yes, another consequence is the #jxnwater crisis, repeated in various versions around the country. GREAT explainer here by @nickjudin: https://t.co/cgBZuWui1u",DonnerKay,Jackson,0,1,1,0
10,2021-04-23 17:57:04+00:00,1385653965195563019,"Read @nickjudin's Part 3 of his #jxnwater crisis, all. There's a lot of vital history here. https://t.co/CytSORUPVm",DonnerKay,Jackson,1,0,2,0
11,2021-04-22 20:03:46+00:00,1385323465033625602,"Read @nickjudin's Part 3 in his #jxnwater series to understand how Jackson water and infrastructure got to this point. It was a lot to do with white flight, reaction to school integration—and the federal guv bailing on help with environmental compliance costs under Ronald Reagan. https://t.co/gGkMmIkAdm",DonnerKay,Jackson,1,9,15,0
12,2021-04-22 13:17:19+00:00,1385221178663571458,"TODAY at 4 p.m. Bring questions for the chat. And if you can by then, read @nickjudin's new big Part 3 in #jxnwater series, focusing on 50 years of decisions that got us here, especially by the federal government: https://t.co/cgBZuWui1u https://t.co/7YG2Uhz9hx",DonnerKay,Jackson,0,6,6,0
13,2021-04-22 11:06:40+00:00,1385188297685839873,@weact4ej @soulfirefarm @YaleE360 #jxnwater #Mississippi #EnvironmentalJustice #WaterIsLife https://t.co/eg8UX7c8Al,SiobhanLeftwich,"Ohio, USA",0,0,1,0
14,2021-04-22 00:10:06+00:00,1385023069400489988,"You all think @nickjudin first two parts of his #jxnwater crisis was outstanding. READ THIS ONE and learn. Stellar reporting and digging, and it's beautifully written. Great thread here, too. https://t.co/xTR1NQ8hQE",DonnerKay,Jackson,0,4,15,1
15,2021-04-21 13:06:54+00:00,1384856168267403266,"Quite the line-up on @MSFreePress front page this morning; key word across headlines is ""systemic""—whether policing, injustice, housing, banking, redlining. Dig in at https://t.co/yZB1iRM26T. Also, watch for Part 3 of @nickjudin #jxnwater series he's been in a cave finishing. https://t.co/q8RHcAOdGD",DonnerKay,Jackson,0,10,14,2
16,2021-04-21 12:50:20+00:00,1384851999854899202,Reporter @nickjudin and I will be talking #jxnwater and infrastructure with Mayor @ChokweALumumba tomorrow (Thursday) at 4 p.m. live. Join us at link below and bring questions for the chat. https://t.co/7YG2Uhz9hx,DonnerKay,Jackson,0,2,8,0
17,2021-04-20 15:06:50+00:00,1384523962487656452,SPECIAL #MFPLIve episode and time this week: Join me and the leading #jxnwater reporter @nickjudin as we talk to Mayor @ChokweALumumba about only water and infrastructure for a full hour Thursday at 4 p.m. Watch live here: https://t.co/RdY8uKuaDv https://t.co/GrVzcz5ioS,DonnerKay,Jackson,2,5,11,2
18,2021-04-19 18:25:26+00:00,1384211552392290304,"Public Works Director Charles Williams explained Tuesday, April 13, 2021, at the Jackson City Council meeting that repairing two non-functioning membranes at the O.B. Curtis Water Treatment plant will enhance water supply in the city. #JXN #JXNwater https://t.co/ReKDccLa61 https://t.co/TIdkKCz1zj",JxnFreePress,"Jackson, Mississippi",0,1,1,0
19,2021-04-16 19:00:15+00:00,1383133152172986381,"Public Works Director Charles Williams explained Tuesday, April 13, 2021, at the Jackson City Council meeting that repairing two non-functioning membranes at the O.B. Curtis Water Treatment plant will enhance water supply in the city. #JXN #JXNwater https://t.co/ReKDcd2LuB https://t.co/Hin9RNNXGm",JxnFreePress,"Jackson, Mississippi",0,0,0,0
20,2021-04-15 21:00:16+00:00,1382800966324518913,"Public Works Director Charles Williams explained Tuesday, April 13, 2021, at the Jackson City Council meeting that repairing two non-functioning membranes at the O.B. Curtis Water Treatment plant will enhance water supply in the city. #JXN #JXNwater https://t.co/ReKDcd2LuB https://t.co/MXXAKqGBQ9",JxnFreePress,"Jackson, Mississippi",0,0,1,0
21,2021-04-10 13:05:41+00:00,1380869593619701763,@yesmagazine Here’s an earlier @msfreepress piece with more on Tamiko and Otis Smith’s struggles during #jxnwater crisis and much more: https://t.co/kWcUpA7Xki,DonnerKay,Jackson,0,1,2,0
22,2021-04-08 18:05:51+00:00,1380220357475500032,"Don't stop talking about this all, and this NPR show is a great intro to the systemic problems at hand if you haven't heard it yet. Please listen. #jxnwater #infrastructure #water https://t.co/lsZBHIrq9s",DonnerKay,Jackson,0,6,6,0
23,2021-04-07 16:44:14+00:00,1379837430082195463,"3. Now @nickjudin is continuing to lead the journalism on #jxnwater crisis with an important Part 3, coming soon. Meantime, don't let issue fall to the side, and read all 6 pieces he's done since asking that pivotal question to Lt. Gov. Hosemann on 3/1. https://t.co/FKKByOKn2m",DonnerKay,Jackson,0,1,2,0
24,2021-04-07 16:44:13+00:00,1379837428060536834,2. Then read Part 2 of @nickjudin's #jxnwater crisis series that really unpacked how the crisis came about at the plant-failure level and what is needed now (it's about much more than water towers).  https://t.co/uNszCXwRll,DonnerKay,Jackson,1,1,2,0
25,2021-04-07 16:44:13+00:00,1379837426718416903,"1. Almost a month ago, @msfreepress reporter @nickjudin kicked off his indepth #jxnwater series, revealing Tamiko and Otis Smith's struggle with his dialysis needs during the crisis. Read their powerful story and others Nick found. https://t.co/kWcUpA7Xki",DonnerKay,Jackson,1,3,5,0
