,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
0,2021-03-25 19:53:04+00:00,1375173912301035523,@SenHydeSmith glad you’re flying to Texas. You never came to Jackson when we had a water crisis.,caviesrule,,0,0,0,0
1,2021-03-25 13:10:23+00:00,1375072573294264320,Of course they did. “The problem in Jackson is more about Legislative leaders kill key proposal to address Jackson water crisis” https://t.co/QO7xem4wOW,robbyjsu,Jackson,0,0,0,0
2,2021-03-19 03:21:41+00:00,1372750093149945856,"WATCH‼️ After hearing about the Jackson water crisis, a churches in Georgia brought down several pallets of bottled water for those in need. @WJTV https://t.co/EAIgPsb4uG",GaryB_WJTV,"Jackson, MS",0,3,21,0
3,2021-03-15 20:25:25+00:00,1371558173576998914,"Who’s better than Jake from State Farm right about now? Daniel from Kentwood 🙌🏽 He got me all setup. We’re a month into the Jackson water crisis💧I’m blessed to have water, but there’s still a boil-water advisory. I have gastrointestinal issues, so I had to make some decisions 😕 https://t.co/SImRoOqDTg",erinpickensWAPT,"Jackson, MS",2,0,25,0
4,2021-03-08 01:02:20+00:00,1368728756932771844,"Opinion | Racism caused the water crisis in Jackson, Mississippi as much as the weather did https://t.co/cQAQwGNi9e via @NBCNewsTHINK",killindvsmalls,"Jackson, MS",0,0,0,0
5,2021-03-07 02:11:04+00:00,1368383669539323904,"Yet, you proceeded to comment on a tweet about Jackson’s water crisis and an article that talks about racial inequality in the capital city.

Senator, I’d sit this one out if I were you. https://t.co/Sf3iQwBLlC",calvertlamon,"Jackson, MS",0,0,3,0
6,2021-03-07 01:10:05+00:00,1368368322379735041,"@DonnerKay wrote a terrific and straight ahead look at the current Jackson, Mississippi water crisis. For those out of state: Yep, more Tibbehah County BS. https://t.co/PY4VBFvfP4",aceatkins,"Oxford, MS",2,9,13,1
7,2021-03-06 03:00:22+00:00,1368033686185275392,"Sadly, the water crisis is not over in Jackson, #Mississippi. A boil-water alert remains across the city, and thousands still can't bathe or cook at home. Photography and reporting for @Reuters. Big thanks to editor @corinne_perkins. Article: https://t.co/TlrKLPHTiz https://t.co/vdoFZlZwPz",rorydoylephoto,"Mississippi, Mexico",0,8,16,0
8,2021-03-04 20:56:34+00:00,1367579744678592514,"THREAD: For almost three weeks, Jackson MS has been in a water crisis. 

Almost 200,000 people with water that’s not safe to drink — and many without water at all. 

@MorganRadford breaks it all down here 👇 https://t.co/F6Y0za72nJ",AFrancoTX,"Chicago, IL",0,5,10,0
9,2021-03-04 16:53:08+00:00,1367518485056786434,"I've had quite a few of my friends checking in on me as Jackson deals with a lingering water crisis. The city’s water system went offline after last month's winter freeze. Low to now water pressure, &amp; unusable water, filled with debris and bacteria. #waterdrive16 https://t.co/ruFKSdgoNw",Troy_Johnson,"Jackson, MS",0,0,0,0
10,2021-03-04 00:02:05+00:00,1367264043577339905,"This Jackson, MS water crisis is just.......",vishal_balaji,"Coimbatore, India/Jackson, MS",1,0,5,0
11,2021-03-02 21:28:18+00:00,1366862955749527557,Jackson Water Crisis: Governor says he has texted back and forth with mayor of Jackson on water issues. Members of his administration have also communicated with the city.,keeganfoxx,"Jackson, MS",0,1,0,0
12,2021-02-27 21:27:05+00:00,1365775488313090053,"Yes, Jackson is still facing a water crisis. Yes, we need your help https://t.co/3PTXhkaMho",HeyAprill,"Jackson, MS",3,15,9,1
13,2021-02-24 21:58:05+00:00,1364696123949125632,"After the governor’s activation, the @nationalguardMS is in Jackson to help with the water crisis. Tankers filled with clean water were driven in today. This is water you can drink, cook with, and use to brush your teeth. (These are parked at Forest Hill HS and Callaway HS) https://t.co/es0KDDbxHM",erinpickensWAPT,"Jackson, MS",2,10,19,0
14,2021-02-23 12:48:26+00:00,1364195413503463424,"JXN WATER CRISIS: Many are still without water in #Jackson and although the city is holding daily water distributions, many say it’s not enough: https://t.co/RTUHwX5VHz",annaonair12,"Ridgeland, MS",0,1,0,0
15,2021-02-23 04:02:33+00:00,1364063071329746948,Jackson MS has a big post-freeze water crisis continuing. I wonder if suburbanites in Texas are dumping on their central cities with water issues like we are here. #allinthistogether. #loveThyNeighbor,npkveg,"Mississippi, USA",2,0,1,0
