User Location,Unnamed: 0,Unnamed: 0.1,Datetime,Tweet Id,Text,Username,Reply Count,Retweet Count,Like Count,Quote Count
 Bham,1,1,1,1,1,1,1,1,1,1
 CA,1,1,1,1,1,1,1,1,1,1
 Chicagoland,1,1,1,1,1,1,1,1,1,1
 Mississippi,1,1,1,1,1,1,1,1,1,1
" Tennessee , USA ",1,1,1,1,1,1,1,1,1,1
 USA,1,1,1,1,1,1,1,1,1,1
 Wilderness of Mirrors,1,1,1,1,1,1,1,1,1,1
#BestDressedManonTV,1,1,1,1,1,1,1,1,1,1
#ConvictTrump  - Resist ,2,2,2,2,2,2,2,2,2,2
#Florida #FBR🌊,1,1,1,1,1,1,1,1,1,1
#ny19 #ny51 #ny101,1,1,1,1,1,1,1,1,1,1
#theGS Lounge & Resort,1,1,1,1,1,1,1,1,1,1
"#ßŔŐŃЖ, #ηєωуσяк",1,1,1,1,1,1,1,1,1,1
.,1,1,1,1,1,1,1,1,1,1
225  Louisiana ,1,1,1,1,1,1,1,1,1,1
30.29702 -87.01172,1,1,1,1,1,1,1,1,1,1
"43.6667° N, 70.2667° W",1,1,1,1,1,1,1,1,1,1
"431 N State St, Jackson, MS",2,2,2,2,2,2,2,2,2,2
4Pillars: #BTC #ETH #LINK #LTC,1,1,1,1,1,1,1,1,1,1
615,1,1,1,1,1,1,1,1,1,1
A Florida State of Mind!,1,1,1,1,1,1,1,1,1,1
A deep red state,1,1,1,1,1,1,1,1,1,1
A station near you,2,2,2,2,2,2,2,2,2,2
ALBUQUERQUE ,1,1,1,1,1,1,1,1,1,1
ATL ✈️ MS. ,1,1,1,1,1,1,1,1,1,1
AZ,1,1,1,1,1,1,1,1,1,1
"AZ, Vaxie Nation",1,1,1,1,1,1,1,1,1,1
Acjachemen Nation,1,1,1,1,1,1,1,1,1,1
Akimel O’odham & Pee Posh land,1,1,1,1,1,1,1,1,1,1
"Al Salmiyah, Kuwait",1,1,1,1,1,1,1,1,1,1
Alabama,2,2,2,2,2,2,2,2,2,2
"Alabama, USA",5,5,5,5,5,5,5,5,5,5
"Alabama, and sometimes DC",1,1,1,1,1,1,1,1,1,1
Alabamastan,1,1,1,1,1,1,1,1,1,1
Alaska,1,1,1,1,1,1,1,1,1,1
"Albuquerque, NM",1,1,1,1,1,1,1,1,1,1
Alexandria,1,1,1,1,1,1,1,1,1,1
Altitude: 300 meters,1,1,1,1,1,1,1,1,1,1
America,2,2,2,2,2,2,2,2,2,2
Amerika Birleşik Devletleri,1,1,1,1,1,1,1,1,1,1
"Amory, MS, USA",4,4,4,4,4,4,4,4,4,4
"Anchorage, AK",1,1,1,1,1,1,1,1,1,1
Anchoring Social Media Network News ~ world news ~ good news ~ advance news for tomorrow.,1,1,1,1,1,1,1,1,1,1
"Anglemont, BC, Canada",1,1,1,1,1,1,1,1,1,1
"Ann Arbor, MI",2,2,2,2,2,2,2,2,2,2
"Anoka, MN",1,1,1,1,1,1,1,1,1,1
Anywhere Diverse🌎,1,1,1,1,1,1,1,1,1,1
"Apple Valley, MN",1,1,1,1,1,1,1,1,1,1
Arizona,1,1,1,1,1,1,1,1,1,1
"Arizona, USA",2,2,2,2,2,2,2,2,2,2
"Arkansas, USA",1,1,1,1,1,1,1,1,1,1
Arkanstan-Gilead,1,1,1,1,1,1,1,1,1,1
Arlington VA (DC Area),1,1,1,1,1,1,1,1,1,1
"Arlington, TX",1,1,1,1,1,1,1,1,1,1
"Arlington, VA | New York, NY",2,2,2,2,2,2,2,2,2,2
Around The Barrel .,1,1,1,1,1,1,1,1,1,1
Around the Way,1,1,1,1,1,1,1,1,1,1
"Asheville, NC",2,2,2,2,2,2,2,2,2,2
"Asheville, North Carolina",1,1,1,1,1,1,1,1,1,1
"Athens, AL",2,2,2,2,2,2,2,2,2,2
"Athens, GA",1,1,1,1,1,1,1,1,1,1
Atlanta GA,1,1,1,1,1,1,1,1,1,1
"Atlanta, DC, NYC",1,1,1,1,1,1,1,1,1,1
"Atlanta, GA",25,25,25,25,25,25,25,25,25,25
"Atlanta, GA ",2,2,2,2,2,2,2,2,2,2
"Atlanta, Georgia",1,1,1,1,1,1,1,1,1,1
"Atlanta, Memphis, and Jackson",1,1,1,1,1,1,1,1,1,1
"Aurora, USA",1,1,1,1,1,1,1,1,1,1
"Austin, TX",11,11,11,11,11,11,11,11,11,11
"Austin, Texas",6,6,6,6,6,6,6,6,6,6
Australia,3,3,3,3,3,3,3,3,3,3
"Avon, Indiana",1,1,1,1,1,1,1,1,1,1
Awakening,1,1,1,1,1,1,1,1,1,1
Back in Mississippi,1,1,1,1,1,1,1,1,1,1
Baltimore,1,1,1,1,1,1,1,1,1,1
"Baltimore, MD",7,7,7,7,7,7,7,7,7,7
"Baltimore, MD 12 yrs",1,1,1,1,1,1,1,1,1,1
"Baltimore, Md.",1,1,1,1,1,1,1,1,1,1
Bangalore,2,2,2,2,2,2,2,2,2,2
Bangladesh,2,2,2,2,2,2,2,2,2,2
Based in  NYC,1,1,1,1,1,1,1,1,1,1
"Baton Rouge, LA",1,1,1,1,1,1,1,1,1,1
"Beach Park, Illinois USA",1,1,1,1,1,1,1,1,1,1
Beach tweeting,1,1,1,1,1,1,1,1,1,1
Beale Street to CO-03,1,1,1,1,1,1,1,1,1,1
Beautiful Michigan,1,1,1,1,1,1,1,1,1,1
"Bellevue, NE",1,1,1,1,1,1,1,1,1,1
Belly of The Beast,1,1,1,1,1,1,1,1,1,1
"Bend, OR",1,1,1,1,1,1,1,1,1,1
"Benicia, CA",1,1,1,1,1,1,1,1,1,1
"Berkeley, CA",1,1,1,1,1,1,1,1,1,1
"Bethlehem, Pa.",1,1,1,1,1,1,1,1,1,1
Between Two Newfoundlands,1,1,1,1,1,1,1,1,1,1
"Beverly Hills, CA",1,1,1,1,1,1,1,1,1,1
"Bexley, OH",1,1,1,1,1,1,1,1,1,1
Beyond known Space,1,1,1,1,1,1,1,1,1,1
"Big Apple 🍎, Great Satan 😈",2,2,2,2,2,2,2,2,2,2
"Biloxi, MS",2,2,2,2,2,2,2,2,2,2
"Biloxi, MS ",16,16,16,16,16,16,16,16,16,16
"Biloxi, Mississippi",1,1,1,1,1,1,1,1,1,1
"Biloxi, Ms",2,2,2,2,2,2,2,2,2,2
"Birmingham, AL",9,9,9,9,9,9,9,9,9,9
"Birmingham, Alabama",3,3,3,3,3,3,3,3,3,3
"Black,22",1,1,1,1,1,1,1,1,1,1
"Blue City, Red State, USA",1,1,1,1,1,1,1,1,1,1
Blue bourbon in a red bottle,1,1,1,1,1,1,1,1,1,1
"Boca Raton, Florida",1,1,1,1,1,1,1,1,1,1
"Bodfish, CA",1,1,1,1,1,1,1,1,1,1
"Boise, ID",2,2,2,2,2,2,2,2,2,2
"Bolton, Mississippi",1,1,1,1,1,1,1,1,1,1
"Boone, NC",1,1,1,1,1,1,1,1,1,1
"Boston, MA",10,10,10,10,10,10,10,10,10,10
"Boston, Massachusetts, USA",2,2,2,2,2,2,2,2,2,2
"Boston, New York, DC",1,1,1,1,1,1,1,1,1,1
"Boulder, CO",1,1,1,1,1,1,1,1,1,1
"Boulder, Colorado",1,1,1,1,1,1,1,1,1,1
"Bowling Green, KY",2,2,2,2,2,2,2,2,2,2
"Bowling Green, Ohio",1,1,1,1,1,1,1,1,1,1
Bozeman MT...Vancouver BC,1,1,1,1,1,1,1,1,1,1
"Brandon, Mississippi",1,1,1,1,1,1,1,1,1,1
Branson Missouri,1,1,1,1,1,1,1,1,1,1
"Breda, Noord-Brabant",1,1,1,1,1,1,1,1,1,1
Bremen,1,1,1,1,1,1,1,1,1,1
"Brentwood, Tennessee",1,1,1,1,1,1,1,1,1,1
"Bridgewater, MA",1,1,1,1,1,1,1,1,1,1
"Briny Breezes, USA ",1,1,1,1,1,1,1,1,1,1
"Bristol, VA",1,1,1,1,1,1,1,1,1,1
"Bronx, NY",1,1,1,1,1,1,1,1,1,1
Brooklyn,3,3,3,3,3,3,3,3,3,3
"Brooklyn, NY",3,3,3,3,3,3,3,3,3,3
"Brooklyn, NY ",5,5,5,5,5,5,5,5,5,5
"Brooklyn, NY via NC/MS/ATL",1,1,1,1,1,1,1,1,1,1
"Brooklyn, NY- When they go low...I grab a shovel.",4,4,4,4,4,4,4,4,4,4
"Brooklyn, NYC",1,1,1,1,1,1,1,1,1,1
Bunker in America's High Five,1,1,1,1,1,1,1,1,1,1
"Burbank, CA",1,1,1,1,1,1,1,1,1,1
"By the Sea, Delaware ☮️",2,2,2,2,2,2,2,2,2,2
"Byram, MS",1,1,1,1,1,1,1,1,1,1
CA,3,3,3,3,3,3,3,3,3,3
CA ,1,1,1,1,1,1,1,1,1,1
CABA,1,1,1,1,1,1,1,1,1,1
CANADA,2,2,2,2,2,2,2,2,2,2
"CARTERSVILLE, GEORGIA",1,1,1,1,1,1,1,1,1,1
COLOMBIA,1,1,1,1,1,1,1,1,1,1
"CT, USA",1,1,1,1,1,1,1,1,1,1
California,9,9,9,9,9,9,9,9,9,9
"California, USA",25,25,25,25,25,25,25,25,25,25
"California, USA  🥋",1,1,1,1,1,1,1,1,1,1
"Cambria, Ca.",1,1,1,1,1,1,1,1,1,1
"Cambridge, MA",3,3,3,3,3,3,3,3,3,3
Canada,1,1,1,1,1,1,1,1,1,1
Candyland,1,1,1,1,1,1,1,1,1,1
"Cape Coral, Florida",1,1,1,1,1,1,1,1,1,1
"Cape Girardeau, MO",1,1,1,1,1,1,1,1,1,1
Caracas - Venezuela,1,1,1,1,1,1,1,1,1,1
"Carbondale, CO",1,1,1,1,1,1,1,1,1,1
Cascadia,1,1,1,1,1,1,1,1,1,1
"Cascilla, MS",3,3,3,3,3,3,3,3,3,3
Casnewydd ,1,1,1,1,1,1,1,1,1,1
"Cedar Rapids, Iowa",1,1,1,1,1,1,1,1,1,1
Central Mississippi,1,1,1,1,1,1,1,1,1,1
Central NY USA,1,1,1,1,1,1,1,1,1,1
Central Ohio,1,1,1,1,1,1,1,1,1,1
Central and Northern Michigan,2,2,2,2,2,2,2,2,2,2
"Centre County, Pennsylvania",1,1,1,1,1,1,1,1,1,1
"Chandler, AZ",1,1,1,1,1,1,1,1,1,1
Changing MS by staying.,1,1,1,1,1,1,1,1,1,1
"Chapel Hill, NC",1,1,1,1,1,1,1,1,1,1
Charlotte and Wilmington NC,2,2,2,2,2,2,2,2,2,2
"Charlotte, NC",4,4,4,4,4,4,4,4,4,4
Charm City AKA Mobtown,1,1,1,1,1,1,1,1,1,1
"Chattanooga, TN",3,3,3,3,3,3,3,3,3,3
"Chattanooga, TN, USA",1,1,1,1,1,1,1,1,1,1
"Chattanooga, Tennessee",1,1,1,1,1,1,1,1,1,1
"Cherokee National Forest,TN/NC",4,4,4,4,4,4,4,4,4,4
Chi Town,1,1,1,1,1,1,1,1,1,1
Chicago NW Suburbs,1,1,1,1,1,1,1,1,1,1
"Chicago, IL",35,35,35,35,35,35,35,35,35,35
"Chicago, Illinois",3,3,3,3,3,3,3,3,3,3
Choctaw/Osage land (MS/STL),1,1,1,1,1,1,1,1,1,1
"Cincinnati, OH",5,5,5,5,5,5,5,5,5,5
Clearwater Fla Florida NY,1,1,1,1,1,1,1,1,1,1
Cleveland,1,1,1,1,1,1,1,1,1,1
Cleveland OH,1,1,1,1,1,1,1,1,1,1
Cleveland Ohio,4,4,4,4,4,4,4,4,4,4
"Cleveland, OH",2,2,2,2,2,2,2,2,2,2
"Cleveland, Ohio",1,1,1,1,1,1,1,1,1,1
"Cleveland, Ohio, U.S.A",1,1,1,1,1,1,1,1,1,1
"Clinton, MD",1,1,1,1,1,1,1,1,1,1
"Clinton, MS",6,6,6,6,6,6,6,6,6,6
Close to Narragansett Bay ,2,2,2,2,2,2,2,2,2,2
Clubhouse,1,1,1,1,1,1,1,1,1,1
"Coimbatore, India/Jackson, MS",1,1,1,1,1,1,1,1,1,1
"College Park, MD",1,1,1,1,1,1,1,1,1,1
Colorado,4,4,4,4,4,4,4,4,4,4
"Colorado Springs, CO",1,1,1,1,1,1,1,1,1,1
"Colorado, USA",3,3,3,3,3,3,3,3,3,3
"Columbia, S.C.",1,1,1,1,1,1,1,1,1,1
"Columbia, SC",1,1,1,1,1,1,1,1,1,1
Columbus Ohio,1,1,1,1,1,1,1,1,1,1
"Columbus, OH",3,3,3,3,3,3,3,3,3,3
"Columbus, Oh",1,1,1,1,1,1,1,1,1,1
"Columbus, Ohio",3,3,3,3,3,3,3,3,3,3
Coming2aCollegeNearYou,1,1,1,1,1,1,1,1,1,1
