,Unnamed: 0,Unnamed: 0.1,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count,Clean Tweet
4,4,4,2021-03-24 17:19:22+00:00,1374772843678949382,#JacksonWaterCrisis https://t.co/Wi1VABjXs2,Backstorymom1,,0,0,0,0, jacksonwatercrisis 
7,7,7,2021-03-19 21:14:20+00:00,1373020035875274758,#JacksonWaterCrisis https://t.co/byqOHfxP85,Backstorymom1,,0,0,0,0, jacksonwatercrisis 
8,8,8,2021-03-18 04:34:49+00:00,1372406111425470471,#JacksonWaterCrisis https://t.co/siefRNSVT9,Monicadisaster1,"Pennsylvania, USA",0,0,0,0, jacksonwatercrisis 
9,9,9,2021-03-18 01:48:40+00:00,1372364299407097858,#JacksonWaterCrisis https://t.co/jX25aQiiEi,Monicadisaster1,"Pennsylvania, USA",0,0,0,0, jacksonwatercrisis 
11,11,11,2021-03-17 21:36:50+00:00,1372300922047631363,#JacksonWaterCrisis https://t.co/Cn0b5oG6jo,elumos,Earth,0,0,0,0, jacksonwatercrisis 
12,12,12,2021-03-17 21:36:20+00:00,1372300794146476035,#JacksonWaterCrisis https://t.co/JihylheYLR,elumos,Earth,0,0,0,0, jacksonwatercrisis 
14,14,14,2021-03-17 20:43:26+00:00,1372287484328034307,#JacksonWaterCrisis https://t.co/Z5s5DNbMdx,Backstorymom1,,0,0,0,0, jacksonwatercrisis 
22,22,22,2021-03-16 02:55:29+00:00,1371656335260008448,#JacksonWaterCrisis https://t.co/6hjz4YzW5c,Backstorymom1,,0,2,2,0, jacksonwatercrisis 
33,33,33,2021-03-10 20:12:22+00:00,1369742950004056064,#JacksonWaterCrisis https://t.co/TTbCM8aLv0,Monicadisaster1,"Pennsylvania, USA",0,0,0,0, jacksonwatercrisis 
38,38,38,2021-03-09 02:30:16+00:00,1369113276454420486,"L O U D E R 🗣 
#JacksonWaterCrisis https://t.co/AYa2tVLuPA",Backstorymom1,,0,0,0,0,l o u d e r jacksonwatercrisis 
39,39,39,2021-03-08 20:05:50+00:00,1369016530852323333,#JacksonWaterCrisis https://t.co/6HFyOdF1Vh,Monicadisaster1,"Pennsylvania, USA",0,0,1,0, jacksonwatercrisis 
47,47,47,2021-03-05 17:10:45+00:00,1367885306758901770,#JacksonWaterCrisis https://t.co/caIJ72ll90,Monicadisaster1,"Pennsylvania, USA",0,0,0,0, jacksonwatercrisis 
55,55,55,2021-03-04 15:59:13+00:00,1367504915212488715,What are we doing to help these folks? No water for 10 days?! During a damn pandemic? This is a national disgrace. @NBCNews @cnnbrk @MSNBC @maddow #JacksonWaterCrisis @SenBobCasey @SenToomey @RepScottPerry @POTUS @GovernorTomWolf @fema https://t.co/e9VJBOR7JM,RAnselmo_Jordan,,0,0,0,1,what are we doing to help these folks no water for  days during a damn pandemic this is a national disgrace nbcnews cnnbrk msnbc maddow jacksonwatercrisis senbobcasey sentoomey repscottperry potus governortomwolf fema 
59,59,59,2021-03-04 03:24:03+00:00,1367314872434913280,#JacksonWaterCrisis #Mississippi https://t.co/Z7aiMhxVjg,elumos,Earth,0,0,0,0, jacksonwatercrisis mississippi 
60,60,60,2021-03-04 03:20:54+00:00,1367314080072151040,#JacksonWaterCrisis https://t.co/2riigWeQfv,sggomg,Somewhere in hell. ,0,1,0,0, jacksonwatercrisis 
72,72,72,2021-03-03 23:34:37+00:00,1367257130982547456,#JacksonWaterCrisis https://t.co/crkefnfCbH,rhon24hourmama,"Portland, OR",0,0,0,0, jacksonwatercrisis 
75,75,75,2021-03-03 22:00:48+00:00,1367233521748742152,"In case you were unaware, Jackson, Mississippi is in a water crisis. Jackson residents are primarily African American. #blacklivesmatter #institutionalracism #Jacksonwatercrisis https://t.co/cepzN23Wtz",OurProgressive,"San Francisco, CA",0,3,9,0,in case you were unaware jackson mississippi is in a water crisis jackson residents are primarily african american blacklivesmatter institutionalracism jacksonwatercrisis 
78,78,78,2021-03-03 19:15:17+00:00,1367191870028320771,#JacksonWaterCrisis https://t.co/ZKH1nS5zQ9,hodgins_debra,,0,0,1,0, jacksonwatercrisis 
80,80,80,2021-03-03 18:32:36+00:00,1367181127895646220,"Jackson, Mississippi is being ignored because the city is 79.4% Black. #JacksonWaterCrisis",lmauricecpr,Improving Communities ,1,10,26,2,jackson mississippi is being ignored because the city is   black jacksonwatercrisis
81,81,81,2021-03-03 18:30:00+00:00,1367180474838380553,"While Jackson residents and organizers say they understand the historical nature of the water system's disrepair, city and other Mississippi government leaders also need to plan ahead to prevent this from ever happening again. #JacksonWaterCrisis

https://t.co/cJ8MI8OJYC",newsone,"New York, NY",0,1,5,0,while jackson residents and organizers say they understand the historical nature of the water system s disrepair city and other mississippi government leaders also need to plan ahead to prevent this from ever happening again jacksonwatercrisis 
110,110,110,2021-03-03 01:08:32+00:00,1366918381581066241,#JacksonWaterCrisis #JacksonMSWaterCrisis https://t.co/1zV1HCqeAP,HeadedToTherapy,,0,0,0,0, jacksonwatercrisis jacksonmswatercrisis 
112,112,112,2021-03-03 01:04:35+00:00,1366917386545332228,#JacksonWaterCrisis #JacksonMSWaterCrisis https://t.co/CqKMXXICZ2,HeadedToTherapy,,0,0,0,0, jacksonwatercrisis jacksonmswatercrisis 
113,113,113,2021-03-03 01:04:19+00:00,1366917318924763143,#JacksonWaterCrisis #JacksonMSWaterCrisis https://t.co/pPjYKzSOkb,HeadedToTherapy,,0,0,0,0, jacksonwatercrisis jacksonmswatercrisis 
116,116,116,2021-03-02 17:29:18+00:00,1366802808658399234,#JacksonWaterCrisis https://t.co/nCw8OSxgKc,Monicadisaster1,"Pennsylvania, USA",0,0,0,0, jacksonwatercrisis 
120,120,120,2021-03-02 15:41:18+00:00,1366775631065849856,#JacksonWaterCrisis https://t.co/SxMK2RkjBv,keightpy,"Raleigh, NC",0,0,0,0, jacksonwatercrisis 
125,125,125,2021-03-02 13:51:20+00:00,1366747956393750530,#JacksonWaterCrisis #JacksonMSWaterCrisis https://t.co/WX2U2VTdsR,HeadedToTherapy,,0,0,0,0, jacksonwatercrisis jacksonmswatercrisis 
135,135,135,2021-03-01 18:50:42+00:00,1366460905815482368,#JacksonWaterCrisis https://t.co/qnh7pKRDwY,Unity_4Humanity,United States,0,0,0,0, jacksonwatercrisis 
137,137,137,2021-03-01 07:22:46+00:00,1366287783862624257,#JacksonWaterCrisis https://t.co/pq8mc9TDB5,mayorwells2003,"Kentucky, USA",0,1,3,0, jacksonwatercrisis 
142,142,142,2021-03-01 01:39:06+00:00,1366201298358517762,#JacksonWaterCrisis https://t.co/SoblO8GJ5H,NotGr8flJstDead,,0,0,1,0, jacksonwatercrisis 
147,147,147,2021-02-28 17:48:49+00:00,1366082946432655365,#JacksonWaterCrisis https://t.co/ocrrH14axZ,HeadedToTherapy,,0,0,0,0, jacksonwatercrisis 
153,153,153,2021-02-27 21:56:35+00:00,1365782911174246402,#JacksonWaterCrisis https://t.co/xXxorpbmg6,mohonask,"Memphis, TN",0,0,0,0, jacksonwatercrisis 
193,39,39,2021-03-07 02:20:24+00:00,1368386017842053121,#JxnNeedsWater https://t.co/Ghy1VMHNJL,DaleRiser,"Oxford, MS",0,3,1,0, jxnneedswater 
199,46,46,2021-03-06 16:01:46+00:00,1368230334475730944,#JxnNeedsWater https://t.co/9X0dWu3mRI,NotGr8flJstDead,,0,4,3,0, jxnneedswater 
200,47,47,2021-03-06 16:01:11+00:00,1368230186018369538,#JxnNeedsWater https://t.co/NwZOFgo9U2,NotGr8flJstDead,,0,3,2,0, jxnneedswater 
205,52,52,2021-03-06 14:17:16+00:00,1368204035757645824,"Jackson, MS doesn't have safe water. #JxnNeedsWater https://t.co/spGwfZvp8Y",FBrownWilliams,"Jackson, MS",0,3,5,0,jackson ms doesn t have safe water jxnneedswater 
207,54,54,2021-03-06 07:32:59+00:00,1368102291799240704,#JxnNeedsWater https://t.co/9vaWtb9v8O,Tinu,"Texas, somehow.",0,1,1,0, jxnneedswater 
211,58,58,2021-03-06 02:14:15+00:00,1368022079778459653,#JxnNeedsWater https://t.co/Mp7laeTLza,NotGr8flJstDead,,0,4,4,0, jxnneedswater 
215,62,62,2021-03-05 21:08:52+00:00,1367945229630910465,#JxnNeedsWater https://t.co/CX3VQsgN3X,NotGr8flJstDead,,0,0,1,0, jxnneedswater 
230,77,77,2021-03-04 04:31:11+00:00,1367331767791853568,#JxnNeedsWater https://t.co/O5T9VcKtkU,yooreeha,"Cambridge, MA",0,0,0,0, jxnneedswater 
233,80,80,2021-03-04 02:44:54+00:00,1367305020820123648,"Jackson, MS doesn't have safe water. #JxnNeedsWater https://t.co/CHpNWJoUJE",FBrownWilliams,"Jackson, MS",0,27,28,1,jackson ms doesn t have safe water jxnneedswater 
234,81,81,2021-03-04 02:37:58+00:00,1367303273015877639,#JxnNeedsWater https://t.co/bv1Sq7nKPZ,NotGr8flJstDead,,0,0,0,0, jxnneedswater 
242,89,89,2021-03-03 15:25:41+00:00,1367134089392889858,#JxnNeedsWater https://t.co/W1On7fXUBG,BettyRey902,"Bronx, NY",0,0,0,0, jxnneedswater 
243,90,90,2021-03-03 14:38:18+00:00,1367122165137612805,#JxnNeedsWater https://t.co/KQDL7B2Igi,NotGr8flJstDead,,0,0,0,0, jxnneedswater 
251,98,98,2021-03-03 04:11:31+00:00,1366964427241754624,#JxnNeedsWater https://t.co/kpy2WUdZuQ,Sibirski12,,0,0,0,0, jxnneedswater 
252,99,99,2021-03-03 04:00:16+00:00,1366961596464041987,#JxnNeedsWater !!! https://t.co/oeuxHYgZ6E,haramhabibtiii,everywhere ,0,0,0,0, jxnneedswater 
255,102,102,2021-03-03 02:45:57+00:00,1366942895043969027,#JxnNeedsWater https://t.co/melaFkhbTN,SereenaOnSocial,"Austin, TX",0,2,3,0, jxnneedswater 
264,111,111,2021-03-02 19:38:43+00:00,1366835379928788999,#JxnNeedsWater https://t.co/5WUmBkynVc,diecryh8,"Brooklyn, NY",0,0,0,0, jxnneedswater 
265,112,112,2021-03-02 19:17:45+00:00,1366830102886060034,#JxnNeedsWater,whtyouwere,she/her,0,0,0,0, jxnneedswater
285,132,132,2021-03-02 05:49:32+00:00,1366626706283495427,"Jackson, MS doesn't have safe water. #msleg #JxnNeedsWater https://t.co/QlczE1AvXc",NotGr8flJstDead,,0,0,0,0,jackson ms doesn t have safe water msleg jxnneedswater 
286,133,133,2021-03-02 05:45:01+00:00,1366625573129261056,"Jackson, MS doesn't have safe water. #msleg #JxnNeedsWater https://t.co/UPBh8k1E2E",NotGr8flJstDead,,0,0,0,0,jackson ms doesn t have safe water msleg jxnneedswater 
288,135,135,2021-03-02 02:48:39+00:00,1366581185447677952,"Jackson, MS doesn't have safe water. #msleg #JxnNeedsWater https://t.co/HLUP7X9skx",FBrownWilliams,"Jackson, MS",0,0,0,0,jackson ms doesn t have safe water msleg jxnneedswater 
289,136,136,2021-03-02 02:48:30+00:00,1366581149666050051,"Jackson, MS doesn't have safe water. #msleg #JxnNeedsWater https://t.co/IXSk2qXECb",FBrownWilliams,"Jackson, MS",1,16,27,0,jackson ms doesn t have safe water msleg jxnneedswater 
291,138,138,2021-03-02 02:17:39+00:00,1366573384994324485,#JxnNeedsWater https://t.co/nLXMte0Sgc,NotGr8flJstDead,,0,0,0,0, jxnneedswater 
292,139,139,2021-03-02 02:14:46+00:00,1366572658318585856,#JxnNeedsWater https://t.co/VAwyoMN2kP,NotGr8flJstDead,,0,0,0,0, jxnneedswater 
293,140,140,2021-03-02 02:12:07+00:00,1366571992535748613,#JxnNeedsWater https://t.co/ysLEKIFtao,NotGr8flJstDead,,0,0,0,0, jxnneedswater 
295,142,142,2021-03-02 01:52:29+00:00,1366567053126217729,"Jackson, MS doesn't have safe water. #msleg #JxnNeedsWater https://t.co/tH2YgbOqLs",IoannisKakales,,0,3,2,0,jackson ms doesn t have safe water msleg jxnneedswater 
299,146,146,2021-03-02 01:20:18+00:00,1366558951895162883,"Jackson, MS doesn't have safe water. #msleg #JxnNeedsWater https://t.co/FzJaMwA5s5",amsmadwoman,The Happy Place,0,0,2,1,jackson ms doesn t have safe water msleg jxnneedswater 
301,148,148,2021-03-02 00:34:44+00:00,1366547485011939331,#JxnNeedsWater #msleg https://t.co/1Rh16Xi0Q5,NotGr8flJstDead,,0,0,1,0, jxnneedswater msleg 
302,149,149,2021-03-01 23:32:40+00:00,1366531867147710466,#JxnNeedsWater https://t.co/y76odZXbra,LilPurplNickers,My own little world,0,1,0,0, jxnneedswater 
303,150,150,2021-03-01 23:21:19+00:00,1366529008528146433,"Jackson, MS doesn't have safe water. #msleg #JxnNeedsWater https://t.co/S3ejJi2B0B",NotGr8flJstDead,,0,6,7,1,jackson ms doesn t have safe water msleg jxnneedswater 
304,151,151,2021-03-01 23:04:25+00:00,1366524756170838024,"Jackson, MS doesn't have safe water. #msleg #JxnNeedsWater https://t.co/jcKTm7hMEt",FBrownWilliams,"Jackson, MS",0,3,7,1,jackson ms doesn t have safe water msleg jxnneedswater 
306,153,153,2021-03-01 22:49:08+00:00,1366520908727398400,#JxnNeedsWater https://t.co/A95C3wwmSU,smartstatistic,"Jackson, MS",1,7,11,0, jxnneedswater 
308,155,155,2021-03-01 17:57:51+00:00,1366447608655446017,#JxnNeedsWater,nycforabortion,"New York, NY",0,0,0,0, jxnneedswater
315,162,162,2021-03-01 12:10:28+00:00,1366360183140724737,#jxnwatercrisis #JxnNeedsWater https://t.co/VvnxrAjqNC,JohnMattFred,"Cascilla, MS",0,1,0,0, jxnwatercrisis jxnneedswater 
318,165,165,2021-02-28 21:05:28+00:00,1366132436036427780,#JxnNeedsWater https://t.co/b6C6TVQESJ,lindseymoon,Central Mississippi,0,0,0,0, jxnneedswater 
325,172,172,2021-02-28 17:47:52+00:00,1366082705482526728,#JxnNeedsWater https://t.co/DbEcRGK5ol,smartstatistic,"Jackson, MS",0,5,2,0, jxnneedswater 
328,175,175,2021-02-28 17:19:47+00:00,1366075640483618826,#JxnNeedsWater https://t.co/oaROuqy81t,memi_jars,,0,2,1,0, jxnneedswater 
331,178,178,2021-02-28 16:44:03+00:00,1366066648122347525,#JxnNeedsWater https://t.co/B5uld6638x,smartstatistic,"Jackson, MS",0,4,2,0, jxnneedswater 
332,179,179,2021-02-28 16:43:29+00:00,1366066503125204996,#JxnNeedsWater https://t.co/v73SEXYGJD,smartstatistic,"Jackson, MS",0,4,6,0, jxnneedswater 
343,5,5,2021-05-03 18:08:22+00:00,1389280688935931906,"The City of Jackson declared municipal water once again safe to drink this morning after an electrical fire erupted at the O.B. Curtis Water Treatment Plant early Friday morning, prompting a plant shutdown for fire mitigation and repairs. #JXN #JXNwater https://t.co/SK2qveDrSR https://t.co/rAPCeCUGNg",JxnFreePress,"Jackson, Mississippi",0,1,0,1,the city of jackson declared municipal water once again safe to drink this morning after an electrical fire erupted at the o b curtis water treatment plant early friday morning prompting a plant shutdown for fire mitigation and repairs jxn jxnwater 
357,19,19,2021-04-16 19:00:15+00:00,1383133152172986381,"Public Works Director Charles Williams explained Tuesday, April 13, 2021, at the Jackson City Council meeting that repairing two non-functioning membranes at the O.B. Curtis Water Treatment plant will enhance water supply in the city. #JXN #JXNwater https://t.co/ReKDcd2LuB https://t.co/Hin9RNNXGm",JxnFreePress,"Jackson, Mississippi",0,0,0,0,public works director charles williams explained tuesday april   at the jackson city council meeting that repairing two non functioning membranes at the o b curtis water treatment plant will enhance water supply in the city jxn jxnwater 
358,20,20,2021-04-15 21:00:16+00:00,1382800966324518913,"Public Works Director Charles Williams explained Tuesday, April 13, 2021, at the Jackson City Council meeting that repairing two non-functioning membranes at the O.B. Curtis Water Treatment plant will enhance water supply in the city. #JXN #JXNwater https://t.co/ReKDcd2LuB https://t.co/MXXAKqGBQ9",JxnFreePress,"Jackson, Mississippi",0,0,1,0,public works director charles williams explained tuesday april   at the jackson city council meeting that repairing two non functioning membranes at the o b curtis water treatment plant will enhance water supply in the city jxn jxnwater 
516,60,60,2021-04-24 01:41:10+00:00,1385770761068101633,"Jackson, Mississippi suffers water crisis as aging water infrastructure problem grows https://t.co/cYna6JfHRN via @msnbc",Janetvr1,"Cape Coral, Florida",0,0,0,0,jackson mississippi suffers water crisis as aging water infrastructure problem grows via msnbc
517,61,61,2021-04-24 01:28:56+00:00,1385767682398642178,"Jackson, Mississippi Suffers Water Crisis As Aging Water Infrastructure ... https://t.co/ffpzNbPEfl via @YouTube",Billington_Book,"Reus, Tarragonna, Spain",0,0,0,0,jackson mississippi suffers water crisis as aging water infrastructure via youtube
518,62,62,2021-04-23 23:12:40+00:00,1385733390758993922,"Jackson, Mississippi suffers water crisis as aging water infrastructure problem grows https://t.co/6a5aUkA8B4",Karma4ThatAzz,Minding mines,0,0,1,0,jackson mississippi suffers water crisis as aging water infrastructure problem grows 
523,67,67,2021-04-23 19:53:12+00:00,1385683191650938881,"Jackson, Mississippi Suffers Water Crisis As Aging Water Infrastructure ... https://t.co/VYixTyDSHl via @YouTube",OnlyWhiteTiger,New York,0,1,2,0,jackson mississippi suffers water crisis as aging water infrastructure via youtube
526,70,70,2021-04-23 19:28:11+00:00,1385676895300247556,"Jackson, Mississippi suffers water crisis as aging water infrastructure problem grows https://t.co/7FqIXsWlnl",thespook97,los angeles,0,4,1,0,jackson mississippi suffers water crisis as aging water infrastructure problem grows 
529,73,73,2021-04-23 18:29:44+00:00,1385662188371681280,"Jackson, Mississippi suffers water crisis as aging water infrastructure problem grows https://t.co/8Tn77HZPja",txsue1,,0,0,0,0,jackson mississippi suffers water crisis as aging water infrastructure problem grows 
532,76,76,2021-04-23 16:09:04+00:00,1385626789490221057,"""60 Minutes+"" explores Jackson, Mississippi's failing infrastructure and severe water crisis https://t.co/AUpVmbxybk https://t.co/QsGqqLRPwV",Fabiolucv,São Paulo,0,0,1,0,  minutes explores jackson mississippi s failing infrastructure and severe water crisis 
534,78,78,2021-04-23 14:43:43+00:00,1385605309406711813,"“60 Minutes+” explores Jackson, Mississippi’s failing infrastructure and severe water crisis https://t.co/8qL77f9z1n https://t.co/DAwbbfuU9k",alaturkanews,"Los Angeles, CA",0,0,0,0,  minutes explores jackson mississippi s failing infrastructure and severe water crisis 
535,79,79,2021-04-23 14:41:19+00:00,1385604706303574017,"“60 Minutes+” explores Jackson, Mississippi’s failing infrastructure and severe water crisis https://t.co/OkgKs70Svl",TheChestnutPost,"Washington, DC",0,0,0,0,  minutes explores jackson mississippi s failing infrastructure and severe water crisis 
537,81,81,2021-04-23 12:45:40+00:00,1385575600249737217,"“60 Minutes+” examines the effects of the water crisis on Jackson, Mississippi residents https://t.co/kXcg6IJo9r",TheChestnutPost,"Washington, DC",0,0,0,0,  minutes examines the effects of the water crisis on jackson mississippi residents 
538,82,82,2021-04-23 12:45:10+00:00,1385575475582406667,"“60 Minutes+” examines the effects of the water crisis on Jackson, Mississippi residents https://t.co/mjOjZFGCI9",TPM_NEWS,"Mumbai, India",0,0,0,0,  minutes examines the effects of the water crisis on jackson mississippi residents 
548,93,93,2021-04-21 03:16:51+00:00,1384707676714815489,"Jackson, Mississippi has an ongoing water crisis. Here’s how it’s impacting its citizens: https://t.co/MxTasxUlj7",ABC,New York City / Worldwide,14,54,94,4,jackson mississippi has an ongoing water crisis here s how it s impacting its citizens 
