,url,source,authors,title,pubDate,country,language,description,imageUrl,content
0,https://www.cbsnews.com/video/60-minutes-examines-the-effects-of-the-water-crisis-on-jackson-mississippi-residents/,cbsnews.com,['CBS News'],"""60 Minutes+"" examines the effects of the water crisis on Jackson, Mississippi residents",2021-04-23T12:09:13+00:00,us,en,"""60 Minutes+"" examines the effects of the water crisis on Jackson, Mississippi residents  CBS News",https://cbsnews2.cbsistatic.com/hub/i/r/2021/04/23/e7a2a1e0-0810-4607-b373-36850ba10253/thumbnail/1200x630/009f9e34350814ba6139729b980eec86/cbsn-fusion-60-minutes-examines-the-effects-of-the-water-crisis-on-jackson-mississippi-residents-thumbnail-699467-640x360.jpg,"""60 Minutes+"" examines the effects of the water crisis on Jackson, Mississippi residents ""60 Minutes+"" correspondent Wesley Lowery joins ""CBS This Morning"" with a preview of his report on the failing infrastructure that contributed to the water crisi ... [+172 chars]"
1,https://abcnews.go.com/GMA/Living/jackson-mississippi-ongoing-water-crisis-heres-impacting-citizens/story?id=76840472,abcnews.go.com,['Shannon McLellan'],"Jackson, Mississippi has an ongoing water crisis. Here’s how it’s impacting citizens.",2021-04-19T08:40:59+00:00,us,en,"Jackson, Mississippi has an ongoing water crisis. Here’s how it’s impacting citizens.  ABC News",https://s.abcnews.com/images/GMA/WaterCrisisMainImage_v03_DG_1617650885297_hpMain_16x9_992.jpg,"“GMA” spoke with citizens of Jackson to learn how the water crisis impacts them.

When winter storms swept throughout the South in mid-February, millions of people lost power and water for days. One of the cities hit hardest was Jackson, Mississippi. ... [+10945 chars]"
2,https://www.yahoo.com/gma/jackson-mississippi-ongoing-water-crisis-080438715.html,yahoo.com,['SHANNON MCLELLAN'],"Jackson, Mississippi has an ongoing water crisis. Here’s how it’s impacting its citizens.",2021-04-19T08:04:38+00:00,us,en,"Jackson, Mississippi has an ongoing water crisis. Here’s how it’s impacting its citizens.  Yahoo! Voices",https://s.yimg.com/uu/api/res/1.2/zdr_vJxhjpHFMUhcDeZbVQ--~B/aD00NTY7dz02MDg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/us.abcnews.gma.com/caaf931d516ba6add65dfb98f9a4f67c,"When winter storms swept throughout the South in mid-February, millions of people lost power and water for days. One of the cities hit hardest was Jackson, Mississippi.

The capital city of Mississippi went without clean water for nearly a month. Som ... [+11260 chars]"
3,https://www.wbur.org/hereandnow/2021/05/04/jackson-water-infrastructure,wbur.org,['WBUR'],"The History Of Jackson, Mississippi's Water Crisis | Here & Now",2021-05-04T15:36:38+00:00,us,en,"The History Of Jackson, Mississippi's Water Crisis | Here & Now  Here And Now",http://d279m997dpfwgl.cloudfront.net/wp/2021/05/AP21071056356003-1000x667.jpg,"A water crisis in Jackson, Mississippi, came to head this winter when freezing storms wreaked havoc on the city's crumbling infrastructure, leaving residents without running water for an entire month.

Here & Now's Tonya Mosley speaks with Dominika P ... [+132 chars]"
4,https://www.cnbc.com/video/2021/03/01/thousands-go-without-water-in-mississippi-amid-crisis-state-rep-ronnie-crudup.html,cnbc.com,[],Thousands go without water in Mississippi amid crisis: State Rep. Ronnie Crudup,2021-03-01T19:28:34+00:00,us,en,"Mississippi State Rep. Ronnie Crudup, Jr. (D) talks with CNBC's Brian Sullivan about the severity of the water crisis in the state. Thousands can't bathe, cook or find shelter in Jackson, Mississippi, he says.",https://image.cnbcfm.com/api/v1/image/106847356-Thousands-go-without-water-in-Mississippi-amid-crisis-Rep-Crudup-jpg?v=1614626831,"Thousands go without water in Mississippi amid crisis: State Rep. Ronnie Crudup

Mississippi State Rep. Ronnie Crudup, Jr. (D) talks with CNBC's Brian Sullivan about the severity of the water crisis in the state. Thousands can't bathe, cook or find s ... [+40 chars]"
5,https://thirdbranch.crooksandliars.com/2021/03/jackson-mississippi-two-weeks-without#comments-inner,thirdbranch.crooksandliars.com,['Common Dreams'],Jackson Mississippi: Two Weeks Without Running Water,2021-03-02T21:14:47+00:00,us,en,The Texas Freeze got all the attention.  But Jackson Mississippi is still without water two weeks later.,https://crooksandliars.com/files/embeds/2021/03/44497.jpg,"""It's been two weeks and I know families with infants who don't have water. The city needs help. I'm thankful my water is trickling out enough to flush my toilet but dang. This just needs to be fixed at this point. It just needs to be fixed.""

That's ... [+5182 chars]"
10,https://www.cbsnews.com/video/60-minutes-explores-jackson-mississippis-failing-infrastructure-and-severe-water-crisis/,cbsnews.com,['CBS News'],"""60 Minutes+"" explores Jackson, Mississippi's failing infrastructure and severe water crisis",2021-04-23T14:00:25+00:00,us,en,"""60 Minutes+"" explores Jackson, Mississippi's failing infrastructure and severe water crisis  CBS News",https://cbsnews1.cbsistatic.com/hub/i/r/2021/04/23/f062f195-5b25-46b4-991c-0de440e20065/thumbnail/1200x630/b503d77982b359aab5a29e83a110540c/0423-cbsnam-60minutes-699606-640x360.jpg,"Movements for racial justice and the environment have been major themes around the world, but Jackson, Mississippi, has become a city at the intersection of both issues. Two winter storms took out critical infrastructure in the mostly Black city, lea ... [+183 chars]"
12,https://us.cnn.com/2021/03/14/opinions/jackson-mississippi-water-crisis-racism-and-poverty-merritt/index.html,us.cnn.com,['Opinion by Keri Leigh Merritt '],Opinion: Jackson water crisis shows Nina Simone is still right about Mississippi,2021-03-14T13:42:42+00:00,us,en,"The recent water crisis in Jackson, the state capital whose primarily Black residents went without access to water for weeks after a winter storm, has exposed the extent to which the Mississippi GOP is still propping up the shame of White supremacy by failing to act to address extreme poverty, writes historian Keri Leigh Merritt.",https://cdn.cnn.com/cnnnext/dam/assets/210313144035-merritt-jackson-opinion-super-tease.jpg,"Keri Leigh Merritt is a historian, writer and filmmaker from Atlanta. She is the author of ""Masterless Men: Poor Whites and Slavery in the Antebellum South."" Follow her @KeriLeighMerrit . The views expressed here are her own. View more opinion on CNN ... [+4804 chars]"
13,https://www.cbsnews.com/video/mississippi-faces-water-crisis-after-brutal-winter-storm/,cbsnews.com,['CBS News'],Mississippi faces water crisis after brutal winter storm,2021-03-02T01:09:24+00:00,us,en,"Residents in Jackson, Mississippi, have been without clean drinking water since a mid-February storm. Thousands more have no water at all. Janet Shamlian reports.",https://cbsnews2.cbsistatic.com/hub/i/r/2021/03/02/f1283561-35bc-42ff-8b10-f6110fedd8c8/thumbnail/1200x630/cf4301546751add3962495a7a90a5aa0/cbsn-fusion-mississippi-faces-water-crisis-after-brutal-winter-storm-thumbnail-656499-640x360.jpg,"Residents in Jackson, Mississippi, have been without clean drinking water since a mid-February storm. Thousands more have no water at all. Janet Shamlian reports."
14,https://www.essence.com/news/tens-of-thousands-of-jackson-mississippi-residents-still-without-water/,essence.com,['Ashlee Banks'],"Tens of Thousands of Jackson, Mississippi Residents Still Without Water",2021-03-02T01:59:54+00:00,us,en,"“I am begging the national media to please pay attention. There is a crisis happening in Jackson.” - Angie Thomas, New York Times bestselling author",https://www.essence.com/wp-content/uploads/2021/03/water-is-life-900x600.jpg,"Thousands of residents in the predominately Black city of Jackson, Mississippi have gone without running water for nearly two weeks after an icy winter storm swept through the deep South, knocking out power and water in some areas. Jackson is current ... [+1849 chars]"
